""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","5"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00035,-0.00001,0.00004,0.000
-0.00039,-0.00001,0.00002,-0.004
-0.00026,-0.00001,0.00002,0.011
-0.00022,0.00000,0.00003,0.016
-0.00020,0.00000,0.00011,0.028
0.00016,0.00000,0.00015,0.050
0.00059,0.00001,0.00015,0.076
0.00114,0.00002,0.00024,0.108
0.00160,0.00003,0.00034,0.147
0.00249,0.00005,0.00039,0.191
0.00338,0.00007,0.00055,0.247
0.00463,0.00009,0.00071,0.323
0.00619,0.00012,0.00090,0.421
0.00805,0.00016,0.00108,0.526
0.01051,0.00021,0.00134,0.656
0.01352,0.00027,0.00167,0.811
0.01683,0.00034,0.00193,0.975
0.02053,0.00041,0.00230,1.168
0.02484,0.00050,0.00268,1.385
0.02957,0.00059,0.00314,1.625
0.03444,0.00069,0.00361,1.880
0.04021,0.00080,0.00412,2.149
0.04603,0.00092,0.00475,2.421
0.05310,0.00106,0.00542,2.716
0.06095,0.00122,0.00632,2.974
0.07037,0.00141,0.00748,3.205
0.08124,0.00162,0.00913,3.366
0.09476,0.00190,0.01122,3.482
0.11009,0.00220,0.01373,3.543
0.12680,0.00254,0.01648,3.583
0.14464,0.00289,0.01959,3.607
0.16432,0.00329,0.02301,3.616
0.18476,0.00370,0.02649,3.629
0.20671,0.00413,0.03025,3.635
0.22906,0.00458,0.03400,3.660
0.25294,0.00506,0.03784,3.677
0.27735,0.00555,0.04176,3.690
0.30236,0.00605,0.04582,3.702
0.32793,0.00656,0.04991,3.718
0.35413,0.00708,0.05408,3.733
0.38080,0.00762,0.05826,3.749
0.40793,0.00816,0.06254,3.786
0.43583,0.00872,0.06690,3.806
0.46409,0.00928,0.07128,3.831
0.49238,0.00985,0.07578,3.844
0.52113,0.01042,0.08026,3.869
0.55069,0.01101,0.08483,3.894
