""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","7"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00013,0.00000,0.00002,0.005
-0.00023,0.00000,-0.00001,0.003
-0.00007,0.00000,-0.00001,0.011
0.00038,0.00001,0.00003,0.032
0.00058,0.00001,0.00012,0.066
0.00141,0.00003,0.00016,0.095
0.00215,0.00004,0.00030,0.144
0.00333,0.00007,0.00035,0.208
0.00489,0.00010,0.00057,0.304
0.00698,0.00014,0.00076,0.415
0.00956,0.00019,0.00102,0.548
0.01295,0.00026,0.00134,0.705
0.01681,0.00034,0.00165,0.890
0.02113,0.00042,0.00199,1.102
0.02645,0.00053,0.00246,1.327
0.03233,0.00065,0.00294,1.593
0.03846,0.00077,0.00343,1.881
0.04549,0.00091,0.00391,2.204
0.05382,0.00108,0.00455,2.532
0.06300,0.00126,0.00522,2.802
0.07356,0.00147,0.00613,3.014
0.08540,0.00171,0.00733,3.167
0.09958,0.00199,0.00884,3.278
0.11588,0.00232,0.01080,3.367
0.13420,0.00268,0.01299,3.401
0.15340,0.00307,0.01540,3.422
0.17443,0.00349,0.01802,3.439
0.19649,0.00393,0.02077,3.447
0.21947,0.00439,0.02363,3.469
0.24375,0.00487,0.02656,3.489
0.26824,0.00536,0.02965,3.517
0.29381,0.00588,0.03274,3.517
0.31969,0.00639,0.03594,3.538
0.34545,0.00691,0.03918,3.556
0.37232,0.00745,0.04252,3.598
0.39947,0.00799,0.04593,3.612
0.42679,0.00854,0.04930,3.621
0.45469,0.00909,0.05272,3.638
0.48282,0.00966,0.05623,3.678
0.51154,0.01023,0.05980,3.688
0.54072,0.01081,0.06340,3.721
0.56993,0.01140,0.06703,3.741
0.59914,0.01198,0.07072,3.759
0.62892,0.01258,0.07453,3.780
0.65867,0.01317,0.07830,3.810
0.68802,0.01376,0.08209,3.837
0.71823,0.01436,0.08590,3.857
0.74844,0.01497,0.08981,3.870
0.77902,0.01558,0.09375,3.901
0.81031,0.01621,0.09759,3.925
0.84110,0.01682,0.10146,3.949
0.87169,0.01743,0.10532,3.979
0.90304,0.01806,0.10928,3.994
0.93399,0.01868,0.11318,4.009
0.96580,0.01932,0.11717,4.035
0.99730,0.01995,0.12110,4.069
1.02939,0.02059,0.12512,4.087
1.06159,0.02123,0.12915,4.106
1.09383,0.02188,0.13320,4.121
1.12614,0.02252,0.13725,4.142
1.15889,0.02318,0.14137,4.167
