""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","10"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00008,0.00000,-0.00005,0.000
-0.00017,0.00000,-0.00005,0.006
-0.00010,0.00000,-0.00001,0.009
0.00012,0.00000,-0.00005,0.003
-0.00001,0.00000,-0.00001,0.018
0.00021,0.00000,-0.00002,0.018
0.00013,0.00000,0.00002,0.039
0.00001,0.00000,0.00001,0.034
0.00038,0.00001,0.00004,0.044
0.00037,0.00001,0.00009,0.064
0.00055,0.00001,0.00007,0.090
0.00071,0.00001,0.00014,0.108
0.00092,0.00002,0.00017,0.125
0.00113,0.00002,0.00020,0.166
0.00118,0.00002,0.00023,0.181
0.00184,0.00004,0.00031,0.229
0.00218,0.00004,0.00034,0.264
0.00286,0.00006,0.00041,0.311
0.00334,0.00007,0.00045,0.366
0.00393,0.00008,0.00058,0.403
0.00477,0.00010,0.00066,0.476
0.00588,0.00012,0.00074,0.534
0.00714,0.00014,0.00085,0.626
0.00827,0.00017,0.00098,0.704
0.00972,0.00019,0.00109,0.796
0.01125,0.00022,0.00120,0.895
0.01304,0.00026,0.00132,0.991
0.01518,0.00030,0.00149,1.105
0.01682,0.00034,0.00161,1.212
0.01895,0.00038,0.00177,1.343
0.02123,0.00042,0.00194,1.463
0.02350,0.00047,0.00207,1.590
0.02604,0.00052,0.00224,1.735
0.02879,0.00058,0.00240,1.877
0.03179,0.00064,0.00257,2.027
0.03475,0.00070,0.00274,2.174
0.03791,0.00076,0.00297,2.335
0.04108,0.00082,0.00319,2.490
0.04495,0.00090,0.00344,2.652
0.04879,0.00098,0.00379,2.809
0.05307,0.00106,0.00408,2.953
0.05747,0.00115,0.00443,3.094
0.06203,0.00124,0.00488,3.215
0.06705,0.00134,0.00530,3.319
0.07266,0.00145,0.00578,3.412
0.07852,0.00157,0.00635,3.485
0.08508,0.00170,0.00692,3.549
0.09182,0.00184,0.00756,3.601
0.09932,0.00199,0.00824,3.648
0.10720,0.00214,0.00899,3.677
0.11581,0.00232,0.00975,3.697
0.12488,0.00250,0.01056,3.718
0.13399,0.00268,0.01140,3.733
0.14324,0.00286,0.01223,3.751
0.15327,0.00307,0.01321,3.759
0.16351,0.00327,0.01406,3.779
0.17383,0.00348,0.01502,3.779
0.18462,0.00369,0.01597,3.794
0.19553,0.00391,0.01694,3.808
0.20634,0.00413,0.01795,3.814
0.21766,0.00435,0.01897,3.829
0.22912,0.00458,0.02005,3.827
0.24091,0.00482,0.02109,3.844
0.25272,0.00505,0.02218,3.855
0.26509,0.00530,0.02337,3.866
0.27712,0.00554,0.02443,3.870
0.28952,0.00579,0.02567,3.880
0.30250,0.00605,0.02682,3.896
0.31508,0.00630,0.02802,3.899
0.32759,0.00655,0.02916,3.914
0.34044,0.00681,0.03036,3.929
0.35377,0.00708,0.03155,3.942
0.36705,0.00734,0.03274,3.958
0.38038,0.00761,0.03400,3.960
0.39367,0.00787,0.03526,3.975
0.40720,0.00814,0.03646,3.982
0.42112,0.00842,0.03770,3.995
0.43512,0.00870,0.03896,4.004
0.44945,0.00899,0.04028,4.016
0.46360,0.00927,0.04154,4.038
0.47818,0.00956,0.04288,4.041
0.49321,0.00986,0.04421,4.057
0.50775,0.01015,0.04558,4.068
0.52297,0.01046,0.04689,4.077
0.53781,0.01076,0.04828,4.093
0.55264,0.01105,0.04963,4.097
0.56775,0.01136,0.05095,4.117
0.58297,0.01166,0.05227,4.121
0.59803,0.01196,0.05362,4.142
0.61345,0.01227,0.05500,4.151
0.62908,0.01258,0.05635,4.162
0.64465,0.01289,0.05769,4.177
0.65929,0.01319,0.05912,4.181
0.67505,0.01350,0.06044,4.199
0.69123,0.01382,0.06185,4.214
0.70737,0.01415,0.06326,4.221
0.72347,0.01447,0.06466,4.238
0.73954,0.01479,0.06617,4.247
0.75617,0.01512,0.06760,4.268
0.77262,0.01545,0.06912,4.271
0.78959,0.01579,0.07056,4.292
0.80609,0.01612,0.07213,4.301
0.82288,0.01646,0.07366,4.318
0.83990,0.01680,0.07512,4.330
0.85625,0.01713,0.07666,4.332
0.87344,0.01747,0.07816,4.348
0.89028,0.01781,0.07972,4.352
0.90781,0.01816,0.08119,4.378
0.92395,0.01848,0.08272,4.385
0.94151,0.01883,0.08418,4.403
0.95838,0.01917,0.08567,4.414
0.97523,0.01950,0.08721,4.418
0.99288,0.01986,0.08865,4.441
1.01010,0.02020,0.09025,4.445
1.02740,0.02055,0.09169,4.458
1.04481,0.02090,0.09320,4.478
1.06235,0.02125,0.09475,4.494
1.08014,0.02160,0.09624,4.503
1.09743,0.02195,0.09785,4.501
1.11574,0.02231,0.09923,4.524
1.13293,0.02266,0.10098,4.539
1.15191,0.02304,0.10236,4.544
1.16863,0.02337,0.10410,4.563
1.18734,0.02375,0.10556,4.570
1.20511,0.02410,0.10715,4.587
1.22346,0.02447,0.10871,4.599
1.24194,0.02484,0.11026,4.615
1.25970,0.02519,0.11196,4.616
1.27858,0.02557,0.11338,4.634
1.29623,0.02592,0.11513,4.643
1.31528,0.02631,0.11653,4.647
1.33294,0.02666,0.11828,4.672
1.35155,0.02703,0.11980,4.664
1.36947,0.02739,0.12143,4.689
1.38770,0.02775,0.12300,4.692
1.40648,0.02813,0.12462,4.704
1.42463,0.02849,0.12629,4.719
1.44309,0.02886,0.12792,4.728
1.46136,0.02923,0.12961,4.740
1.48000,0.02960,0.13117,4.745
1.49805,0.02996,0.13281,4.771
1.51644,0.03033,0.13446,4.770
1.53513,0.03070,0.13605,4.778
1.55341,0.03107,0.13768,4.800
1.57239,0.03145,0.13924,4.807
1.59059,0.03181,0.14087,4.823
1.60908,0.03218,0.14246,4.827
1.62741,0.03255,0.14410,4.835
1.64578,0.03292,0.14568,4.845
1.66450,0.03329,0.14725,4.854
1.68284,0.03366,0.14887,4.864
1.70075,0.03401,0.15049,4.866
1.71913,0.03438,0.15210,4.886
1.73764,0.03475,0.15366,4.899
1.75592,0.03512,0.15524,4.898
1.77424,0.03548,0.15689,4.914
1.79318,0.03586,0.15850,4.923
1.81109,0.03622,0.16008,4.926
1.82985,0.03660,0.16159,4.930
1.84823,0.03696,0.16313,4.956
1.86652,0.03733,0.16473,4.955
1.88479,0.03770,0.16619,4.968
1.90311,0.03806,0.16774,4.981
1.92176,0.03844,0.16935,4.981
1.93993,0.03880,0.17089,4.996
1.95816,0.03916,0.17245,4.997
1.97672,0.03953,0.17403,5.007
1.99501,0.03990,0.17562,5.029
2.01315,0.04026,0.17718,5.030
2.03144,0.04063,0.17878,5.050
2.04999,0.04100,0.18032,5.044
2.06834,0.04137,0.18196,5.058
2.08678,0.04174,0.18348,5.062
2.10535,0.04211,0.18510,5.065
2.12353,0.04247,0.18662,5.077
2.14189,0.04284,0.18816,5.074
2.16026,0.04321,0.18976,5.097
2.17869,0.04357,0.19133,5.095
2.19723,0.04394,0.19284,5.116
2.21521,0.04430,0.19446,5.118
2.23350,0.04467,0.19598,5.119
2.25157,0.04503,0.19759,5.137
2.26954,0.04539,0.19913,5.137
2.28799,0.04576,0.20070,5.157
2.30608,0.04612,0.20220,5.142
2.32425,0.04649,0.20373,5.158
2.34272,0.04685,0.20526,5.166
2.36112,0.04722,0.20673,5.171
2.37894,0.04758,0.20830,5.190
2.39723,0.04794,0.20984,5.182
2.41547,0.04831,0.21140,5.205
2.43360,0.04867,0.21294,5.202
2.45172,0.04903,0.21449,5.202
2.46974,0.04939,0.21605,5.224
2.48789,0.04976,0.21760,5.209
2.50586,0.05012,0.21913,5.227
2.52404,0.05048,0.22065,5.235
2.54201,0.05084,0.22222,5.243
2.56008,0.05120,0.22379,5.250
2.57813,0.05156,0.22534,5.249
2.59644,0.05193,0.22686,5.266
2.61451,0.05229,0.22835,5.270
2.63244,0.05265,0.22987,5.278
2.65044,0.05301,0.23140,5.277
2.66781,0.05336,0.23295,5.288
2.68618,0.05372,0.23449,5.299
2.70410,0.05408,0.23599,5.303
2.72141,0.05443,0.23751,5.309
2.73936,0.05479,0.23902,5.310
2.75729,0.05515,0.24054,5.321
2.77493,0.05550,0.24207,5.323
2.79296,0.05586,0.24352,5.326
2.81060,0.05621,0.24500,5.340
2.82869,0.05657,0.24656,5.347
2.84648,0.05693,0.24804,5.354
2.86453,0.05729,0.24951,5.353
2.88267,0.05765,0.25104,5.361
2.90037,0.05801,0.25254,5.374
2.91814,0.05836,0.25404,5.367
2.93586,0.05872,0.25543,5.376
2.95370,0.05907,0.25693,5.384
2.97157,0.05943,0.25842,5.389
2.98882,0.05978,0.25996,5.395
3.00664,0.06013,0.26143,5.400
3.02429,0.06049,0.26293,5.404
3.04213,0.06084,0.26431,5.410
3.05951,0.06119,0.26577,5.420
3.07723,0.06154,0.26721,5.415
3.09505,0.06190,0.26863,5.430
3.11272,0.06225,0.27006,5.436
3.13011,0.06260,0.27153,5.428
3.14761,0.06295,0.27296,5.446
