""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","8"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00012,0.00000,0.00007,0.005
0.00007,0.00000,0.00008,0.020
0.00045,0.00001,0.00010,0.047
0.00081,0.00002,0.00016,0.070
0.00122,0.00002,0.00022,0.116
0.00198,0.00004,0.00035,0.164
0.00296,0.00006,0.00054,0.232
0.00437,0.00009,0.00065,0.319
0.00635,0.00013,0.00086,0.414
0.00861,0.00017,0.00112,0.547
0.01131,0.00023,0.00134,0.689
0.01459,0.00029,0.00165,0.852
0.01882,0.00038,0.00202,1.028
0.02308,0.00046,0.00239,1.226
0.02809,0.00056,0.00278,1.453
0.03356,0.00067,0.00323,1.693
0.03970,0.00079,0.00369,1.958
0.04669,0.00093,0.00425,2.223
0.05454,0.00109,0.00484,2.493
0.06297,0.00126,0.00553,2.724
0.07258,0.00145,0.00639,2.935
0.08404,0.00168,0.00750,3.116
0.09688,0.00194,0.00891,3.233
0.11206,0.00224,0.01072,3.311
0.12852,0.00257,0.01277,3.366
0.14692,0.00294,0.01512,3.405
0.16686,0.00334,0.01761,3.431
0.18722,0.00374,0.02015,3.443
0.20920,0.00418,0.02289,3.455
0.23208,0.00464,0.02565,3.465
0.25556,0.00511,0.02858,3.489
0.28018,0.00560,0.03161,3.507
0.30513,0.00610,0.03469,3.524
0.33070,0.00661,0.03779,3.553
0.35678,0.00714,0.04102,3.570
0.38340,0.00767,0.04440,3.604
0.41043,0.00821,0.04774,3.614
0.43793,0.00876,0.05125,3.633
0.46635,0.00933,0.05477,3.651
0.49494,0.00990,0.05834,3.671
0.52379,0.01048,0.06190,3.690
0.55317,0.01106,0.06562,3.714
0.58328,0.01167,0.06929,3.742
0.61347,0.01227,0.07295,3.768
0.64395,0.01288,0.07675,3.786
0.67488,0.01350,0.08061,3.808
0.70532,0.01411,0.08444,3.840
0.73682,0.01474,0.08834,3.859
0.76845,0.01537,0.09239,3.885
0.80039,0.01601,0.09638,3.902
0.83325,0.01666,0.10049,3.917
0.86609,0.01732,0.10463,3.952
0.89856,0.01797,0.10875,3.974
0.93184,0.01864,0.11284,4.000
0.96502,0.01930,0.11701,4.025
0.99871,0.01997,0.12124,4.049
1.03215,0.02064,0.12539,4.074
1.06616,0.02132,0.12963,4.092
1.10048,0.02201,0.13386,4.115
1.13496,0.02270,0.13805,4.133
1.16916,0.02338,0.14231,4.153
1.20359,0.02407,0.14652,4.176
1.23775,0.02476,0.15078,4.191
1.27201,0.02544,0.15493,4.207
1.30644,0.02613,0.15918,4.237
1.34175,0.02683,0.16336,4.253
1.37697,0.02754,0.16773,4.277
1.41190,0.02824,0.17218,4.293
1.44776,0.02896,0.17651,4.323
1.48263,0.02965,0.18080,4.337
1.51787,0.03036,0.18520,4.360
1.55322,0.03106,0.18953,4.384
1.58859,0.03177,0.19387,4.405
1.62405,0.03248,0.19816,4.410
1.65962,0.03319,0.20254,4.427
1.69461,0.03389,0.20691,4.457
1.73007,0.03460,0.21114,4.474
1.76483,0.03530,0.21542,4.489
1.80006,0.03600,0.21976,4.508
1.83542,0.03671,0.22403,4.516
1.87085,0.03742,0.22831,4.530
1.90601,0.03812,0.23258,4.543
1.94089,0.03882,0.23682,4.569
1.97593,0.03952,0.24108,4.584
2.01050,0.04021,0.24546,4.599
2.04565,0.04091,0.24974,4.611
2.08056,0.04161,0.25402,4.623
2.11570,0.04231,0.25821,4.641
2.15075,0.04302,0.26242,4.662
2.18538,0.04371,0.26664,4.670
2.22005,0.04440,0.27078,4.683
2.25440,0.04509,0.27487,4.687
2.28911,0.04578,0.27905,4.717
2.32352,0.04647,0.28323,4.730
2.35804,0.04716,0.28728,4.746
2.39279,0.04786,0.29135,4.755
2.42737,0.04855,0.29551,4.761
2.46154,0.04923,0.29968,4.771
2.49586,0.04992,0.30375,4.787
2.52970,0.05059,0.30785,4.800
2.56441,0.05129,0.31180,4.817
2.59846,0.05197,0.31578,4.838
2.63261,0.05265,0.31967,4.840
2.66731,0.05335,0.32367,4.856
2.70107,0.05402,0.32759,4.864
2.73518,0.05470,0.33159,4.870
2.76848,0.05537,0.33567,4.879
2.80250,0.05605,0.33959,4.890
2.83598,0.05672,0.34362,4.895
2.86987,0.05740,0.34759,4.912
2.90430,0.05809,0.35152,4.920
2.93835,0.05877,0.35534,4.934
2.97233,0.05945,0.35923,4.943
3.00618,0.06012,0.36310,4.960
3.03947,0.06079,0.36703,4.957
3.07306,0.06146,0.37098,4.970
3.10652,0.06213,0.37490,4.975
3.13984,0.06280,0.37882,4.990
3.17321,0.06346,0.38269,4.997
3.20679,0.06414,0.38667,5.007
3.23984,0.06480,0.39049,5.016
3.27345,0.06547,0.39437,5.030
3.30633,0.06613,0.39818,5.041
3.33956,0.06679,0.40195,5.044
3.37294,0.06746,0.40566,5.059
3.40634,0.06813,0.40945,5.047
3.43962,0.06879,0.41326,5.064
3.47279,0.06946,0.41704,5.072
3.50502,0.07010,0.42084,5.078
3.53788,0.07076,0.42462,5.085
3.57022,0.07140,0.42836,5.099
3.60314,0.07206,0.43210,5.099
3.63553,0.07271,0.43582,5.114
3.66833,0.07337,0.43950,5.118
3.70119,0.07402,0.44314,5.131
3.73356,0.07467,0.44684,5.126
3.76582,0.07532,0.45052,5.139
3.79808,0.07596,0.45426,5.145
3.82949,0.07659,0.45788,5.145
3.86141,0.07723,0.46156,5.168
3.89295,0.07786,0.46521,5.170
3.92512,0.07850,0.46882,5.179
3.95709,0.07914,0.47242,5.180
3.98866,0.07977,0.47590,5.181
4.01993,0.08040,0.47940,5.189
4.05133,0.08103,0.48292,5.185
4.08224,0.08164,0.48646,5.198
4.11331,0.08227,0.48993,5.200
4.14384,0.08288,0.49339,5.209
4.17482,0.08350,0.49688,5.218
4.20582,0.08412,0.50034,5.224
4.23643,0.08473,0.50381,5.231
4.26693,0.08534,0.50718,5.232
4.29744,0.08595,0.51056,5.218
4.32727,0.08655,0.51397,5.234
4.35728,0.08715,0.51730,5.243
4.38669,0.08773,0.52065,5.246
4.41658,0.08833,0.52399,5.251
4.44632,0.08893,0.52728,5.258
4.47586,0.08952,0.53052,5.261
4.50515,0.09010,0.53377,5.249
4.53416,0.09068,0.53696,5.268
4.56339,0.09127,0.54015,5.272
4.59161,0.09183,0.54324,5.278
4.62026,0.09241,0.54635,5.286
4.64906,0.09298,0.54953,5.288
4.67739,0.09355,0.55266,5.268
4.70563,0.09411,0.55582,5.293
4.73383,0.09468,0.55903,5.296
4.76148,0.09523,0.56214,5.301
4.78934,0.09579,0.56523,5.309
4.81671,0.09633,0.56827,5.319
4.84411,0.09688,0.57124,5.318
4.87149,0.09743,0.57424,5.313
4.89889,0.09798,0.57723,5.319
4.92587,0.09852,0.58019,5.313
4.95304,0.09906,0.58313,5.321
4.98014,0.09960,0.58611,5.330
5.00711,0.10014,0.58904,5.332
5.03340,0.10067,0.59202,5.326
5.05970,0.10119,0.59482,5.337
5.08641,0.10173,0.59769,5.345
5.11233,0.10225,0.60054,5.342
5.13871,0.10277,0.60340,5.340
5.16447,0.10329,0.60621,5.342
5.19058,0.10381,0.60906,5.351
5.21634,0.10433,0.61185,5.348
5.24263,0.10485,0.61468,5.354
5.26831,0.10537,0.61743,5.359
5.29367,0.10587,0.62020,5.365
5.31922,0.10638,0.62297,5.371
5.34487,0.10690,0.62571,5.371
5.36978,0.10740,0.62846,5.363
5.39526,0.10791,0.63118,5.368
5.42027,0.10841,0.63385,5.364
5.44555,0.10891,0.63661,5.373
5.47031,0.10941,0.63935,5.374
5.49566,0.10991,0.64207,5.382
5.52042,0.11041,0.64469,5.382
5.54513,0.11090,0.64730,5.388
5.56978,0.11140,0.64995,5.388
5.59432,0.11189,0.65261,5.391
5.61862,0.11237,0.65521,5.384
5.64323,0.11286,0.65794,5.390
5.66780,0.11336,0.66059,5.398
5.69173,0.11383,0.66318,5.396
5.71607,0.11432,0.66579,5.399
5.74065,0.11481,0.66844,5.410
5.76506,0.11530,0.67100,5.408
5.78972,0.11579,0.67352,5.405
5.81356,0.11627,0.67606,5.404
5.83803,0.11676,0.67861,5.402
5.86217,0.11724,0.68117,5.403
5.88549,0.11771,0.68368,5.408
5.90914,0.11818,0.68627,5.401
5.93311,0.11866,0.68883,5.415
5.95691,0.11914,0.69130,5.426
5.98109,0.11962,0.69378,5.425
6.00520,0.12010,0.69619,5.432
6.02890,0.12058,0.69866,5.421
6.05311,0.12106,0.70116,5.424
6.07663,0.12153,0.70368,5.430
6.10039,0.12201,0.70613,5.429
6.12389,0.12248,0.70864,5.423
6.14716,0.12294,0.71112,5.434
6.17068,0.12341,0.71353,5.430
6.19410,0.12388,0.71600,5.437
6.21721,0.12434,0.71837,5.437
6.24061,0.12481,0.72075,5.440
6.26432,0.12529,0.72311,5.435
6.28774,0.12575,0.72556,5.443
6.31107,0.12622,0.72799,5.434
6.33407,0.12668,0.73042,5.443
6.35766,0.12715,0.73280,5.451
6.38062,0.12761,0.73521,5.447
6.40340,0.12807,0.73753,5.447
6.42687,0.12854,0.73987,5.452
6.45042,0.12901,0.74228,5.449
6.47371,0.12947,0.74470,5.448
6.49699,0.12994,0.74706,5.453
6.52038,0.13041,0.74944,5.451
6.54310,0.13086,0.75189,5.455
6.56656,0.13133,0.75440,5.467
6.58927,0.13179,0.75678,5.463
6.61250,0.13225,0.75917,5.460
6.63607,0.13272,0.76155,5.461
6.65882,0.13318,0.76395,5.456
6.68225,0.13365,0.76634,5.452
6.70579,0.13412,0.76875,5.462
6.72884,0.13458,0.77115,5.464
6.75201,0.13504,0.77359,5.466
6.77567,0.13551,0.77604,5.475
6.79925,0.13599,0.77846,5.471
6.82278,0.13646,0.78091,5.478
6.84599,0.13692,0.78335,5.475
6.86954,0.13739,0.78579,5.468
6.89324,0.13786,0.78817,5.475
6.91621,0.13832,0.79068,5.478
6.93995,0.13880,0.79313,5.473
6.96365,0.13927,0.79561,5.477
6.98695,0.13974,0.79804,5.487
7.01049,0.14021,0.80051,5.480
7.03441,0.14069,0.80296,5.482
7.05846,0.14117,0.80541,5.486
7.08223,0.14164,0.80784,5.486
7.10586,0.14212,0.81035,5.487
7.12996,0.14260,0.81277,5.483
7.15383,0.14308,0.81529,5.488
7.17763,0.14355,0.81780,5.490
7.20160,0.14403,0.82025,5.493
7.22561,0.14451,0.82275,5.499
7.24973,0.14499,0.82523,5.496
7.27364,0.14547,0.82775,5.492
7.29807,0.14596,0.83033,5.497
7.32264,0.14645,0.83278,5.499
7.34690,0.14694,0.83524,5.493
7.37112,0.14742,0.83770,5.501
7.39551,0.14791,0.84022,5.502
7.41983,0.14840,0.84273,5.493
7.44378,0.14888,0.84529,5.511
7.46820,0.14936,0.84778,5.508
7.49279,0.14986,0.85028,5.510
