""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","9"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
3.99373,0.07987,0.36377,5.644
4.02896,0.08058,0.36681,5.648
4.06449,0.08129,0.36986,5.664
4.09942,0.08199,0.37294,5.676
4.13416,0.08268,0.37596,5.671
4.16928,0.08339,0.37895,5.679
4.20459,0.08409,0.38188,5.682
4.23978,0.08480,0.38483,5.688
4.27411,0.08548,0.38782,5.691
4.30883,0.08618,0.39078,5.698
4.34276,0.08686,0.39368,5.705
4.37685,0.08754,0.39653,5.716
4.41058,0.08821,0.39943,5.720
4.44440,0.08889,0.40216,5.723
4.47824,0.08956,0.40504,5.721
4.51194,0.09024,0.40785,5.724
4.54491,0.09090,0.41067,5.737
4.57799,0.09156,0.41344,5.744
4.60993,0.09220,0.41615,5.752
4.64216,0.09284,0.41884,5.752
4.67398,0.09348,0.42155,5.757
4.70596,0.09412,0.42415,5.752
4.73749,0.09475,0.42680,5.760
4.76895,0.09538,0.42944,5.771
4.80006,0.09600,0.43200,5.774
4.83062,0.09661,0.43462,5.776
4.86073,0.09721,0.43711,5.777
4.89049,0.09781,0.43960,5.779
4.92060,0.09841,0.44212,5.776
4.95053,0.09901,0.44455,5.784
4.98020,0.09960,0.44691,5.785
5.00902,0.10018,0.44934,5.792
5.03807,0.10076,0.45164,5.802
5.06684,0.10134,0.45400,5.803
5.09516,0.10190,0.45628,5.794
5.12281,0.10246,0.45855,5.806
5.15086,0.10302,0.46080,5.801
5.17838,0.10357,0.46307,5.812
5.20618,0.10412,0.46533,5.818
5.23352,0.10467,0.46749,5.819
5.26064,0.10521,0.46976,5.817
5.28756,0.10575,0.47193,5.824
5.31394,0.10628,0.47408,5.822
5.34018,0.10680,0.47615,5.824
5.36584,0.10732,0.47833,5.828
5.39195,0.10784,0.48041,5.834
5.41786,0.10836,0.48250,5.838
5.44314,0.10886,0.48453,5.830
5.46854,0.10937,0.48659,5.828
5.49407,0.10988,0.48862,5.832
5.51891,0.11038,0.49068,5.838
5.54350,0.11087,0.49262,5.836
5.56770,0.11135,0.49459,5.841
5.59197,0.11184,0.49650,5.845
5.61565,0.11231,0.49842,5.839
5.63902,0.11278,0.50031,5.841
5.66249,0.11325,0.50218,5.844
5.68570,0.11371,0.50408,5.847
5.70861,0.11417,0.50597,5.854
5.73157,0.11463,0.50780,5.852
5.75429,0.11509,0.50959,5.855
5.77704,0.11554,0.51136,5.856
5.79943,0.11599,0.51316,5.852
5.82150,0.11643,0.51491,5.859
5.84362,0.11687,0.51669,5.853
5.86524,0.11730,0.51841,5.867
5.88630,0.11773,0.52013,5.865
5.90783,0.11816,0.52192,5.870
5.92948,0.11859,0.52360,5.865
5.95050,0.11901,0.52527,5.860
5.97148,0.11943,0.52696,5.860
5.99234,0.11985,0.52863,5.867
6.01338,0.12027,0.53029,5.876
6.03436,0.12069,0.53198,5.867
6.05477,0.12110,0.53349,5.866
6.07534,0.12151,0.53515,5.867
6.09598,0.12192,0.53683,5.867
6.11647,0.12233,0.53849,5.872
6.13687,0.12274,0.54014,5.876
6.15701,0.12314,0.54182,5.878
6.17764,0.12355,0.54341,5.877
6.19826,0.12397,0.54508,5.879
6.21821,0.12436,0.54663,5.880
6.23858,0.12477,0.54829,5.883
6.25864,0.12517,0.54996,5.881
6.27916,0.12558,0.55155,5.890
6.29940,0.12599,0.55313,5.892
6.31964,0.12639,0.55479,5.883
6.33939,0.12679,0.55631,5.883
6.35939,0.12719,0.55791,5.885
6.37946,0.12759,0.55947,5.895
6.39906,0.12798,0.56103,5.883
6.41858,0.12837,0.56266,5.889
6.43876,0.12878,0.56422,5.887
6.45904,0.12918,0.56584,5.887
6.47869,0.12957,0.56739,5.892
6.49880,0.12998,0.56897,5.889
6.51908,0.13038,0.57061,5.898
6.53911,0.13078,0.57219,5.895
6.55924,0.13118,0.57373,5.888
6.57917,0.13158,0.57530,5.886
6.59885,0.13198,0.57686,5.896
6.61897,0.13238,0.57845,5.900
6.63896,0.13278,0.57999,5.906
6.65886,0.13318,0.58156,5.898
6.67914,0.13358,0.58310,5.895
6.69928,0.13399,0.58463,5.896
6.71962,0.13439,0.58627,5.904
6.73920,0.13478,0.58781,5.902
6.75975,0.13519,0.58940,5.910
6.78020,0.13560,0.59097,5.910
6.80076,0.13602,0.59253,5.907
6.82138,0.13643,0.59411,5.904
6.84168,0.13683,0.59563,5.906
6.86196,0.13724,0.59721,5.912
6.88237,0.13765,0.59880,5.910
6.90319,0.13806,0.60044,5.902
6.92322,0.13846,0.60204,5.909
6.94407,0.13888,0.60367,5.909
6.96488,0.13930,0.60531,5.908
6.98555,0.13971,0.60707,5.913
7.00645,0.14013,0.60869,5.922
7.02770,0.14055,0.61033,5.915
7.04906,0.14098,0.61195,5.919
7.06999,0.14140,0.61360,5.910
7.09134,0.14183,0.61526,5.921
7.11235,0.14225,0.61693,5.918
7.13356,0.14267,0.61857,5.928
7.15485,0.14310,0.62019,5.926
7.17590,0.14352,0.62186,5.926
7.19755,0.14395,0.62352,5.923
7.21918,0.14438,0.62519,5.916
7.24066,0.14481,0.62689,5.924
7.26205,0.14524,0.62862,5.939
7.28414,0.14568,0.63027,5.939
7.30626,0.14613,0.63198,5.930
7.32820,0.14656,0.63364,5.929
7.35033,0.14701,0.63540,5.933
7.37249,0.14745,0.63708,5.935
7.39503,0.14790,0.63881,5.931
7.41726,0.14835,0.64047,5.944
7.43913,0.14878,0.64225,5.928
7.46194,0.14924,0.64394,5.934
7.48466,0.14969,0.64567,5.932
7.50706,0.15014,0.64743,5.939
7.53019,0.15060,0.64913,5.935
7.55292,0.15106,0.65085,5.944
7.57633,0.15153,0.65264,5.943
7.59952,0.15199,0.65437,5.935
7.62280,0.15246,0.65617,5.931
7.64605,0.15292,0.65794,5.935
7.66963,0.15339,0.65975,5.938
7.69297,0.15386,0.66151,5.946
7.71661,0.15433,0.66335,5.938
7.74083,0.15482,0.66513,5.941
7.76457,0.15529,0.66698,5.942
7.78923,0.15578,0.66882,5.939
7.81343,0.15627,0.67067,5.943
7.83803,0.15676,0.67254,5.948
7.86269,0.15725,0.67446,5.945
7.88704,0.15774,0.67640,5.951
7.91183,0.15824,0.67821,5.949
7.93688,0.15874,0.68014,5.941
7.96117,0.15922,0.68200,5.951
7.98623,0.15972,0.68391,5.942
8.01135,0.16023,0.68576,5.952
8.03646,0.16073,0.68770,5.945
8.06251,0.16125,0.68968,5.953
8.08838,0.16177,0.69161,5.956
8.11444,0.16229,0.69359,5.960
8.14057,0.16281,0.69560,5.951
8.16658,0.16333,0.69761,5.951
8.19295,0.16386,0.69956,5.946
8.21908,0.16438,0.70163,5.951
8.24543,0.16491,0.70369,5.952
8.27234,0.16545,0.70566,5.957
8.29862,0.16597,0.70768,5.955
8.32557,0.16651,0.70972,5.962
8.35274,0.16705,0.71171,5.958
8.37982,0.16760,0.71380,5.950
8.40695,0.16814,0.71580,5.954
8.43448,0.16869,0.71792,5.957
8.46207,0.16924,0.72003,5.957
8.48932,0.16979,0.72214,5.966
8.51750,0.17035,0.72426,5.966
8.54539,0.17091,0.72638,5.955
8.57347,0.17147,0.72854,5.956
8.60270,0.17205,0.73070,5.952
8.63132,0.17263,0.73290,5.960
8.66017,0.17320,0.73507,5.966
8.68892,0.17378,0.73719,5.965
8.71826,0.17437,0.73937,5.961
8.74700,0.17494,0.74156,5.961
8.77638,0.17553,0.74372,5.961
8.80530,0.17611,0.74593,5.955
8.83469,0.17669,0.74813,5.967
8.86433,0.17729,0.75032,5.962
8.89372,0.17787,0.75252,5.964
8.92325,0.17847,0.75470,5.961
8.95306,0.17906,0.75691,5.963
