""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","11"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

0.00002,0.00000,-0.00003,0.011
0.00004,0.00000,-0.00002,0.000
0.00010,0.00000,0.00001,0.009
-0.00002,0.00000,0.00001,0.017
0.00034,0.00001,0.00004,0.025
0.00060,0.00001,0.00007,0.059
0.00119,0.00002,0.00015,0.095
0.00186,0.00004,0.00020,0.149
0.00293,0.00006,0.00031,0.233
0.00443,0.00009,0.00040,0.331
0.00650,0.00013,0.00061,0.458
0.00899,0.00018,0.00078,0.618
0.01188,0.00024,0.00099,0.793
0.01510,0.00030,0.00123,1.007
0.01925,0.00039,0.00155,1.237
0.02356,0.00047,0.00183,1.480
0.02830,0.00057,0.00216,1.735
0.03404,0.00068,0.00249,2.028
0.04001,0.00080,0.00288,2.327
0.04700,0.00094,0.00331,2.644
0.05451,0.00109,0.00383,2.925
0.06343,0.00127,0.00452,3.178
0.07412,0.00148,0.00536,3.381
0.08606,0.00172,0.00642,3.513
0.09969,0.00199,0.00778,3.604
0.11535,0.00231,0.00929,3.672
0.13232,0.00265,0.01104,3.703
0.15056,0.00301,0.01301,3.729
0.16877,0.00338,0.01503,3.765
0.18869,0.00377,0.01719,3.781
0.20974,0.00419,0.01938,3.793
0.23112,0.00462,0.02169,3.815
0.25322,0.00506,0.02392,3.829
0.27660,0.00553,0.02623,3.851
0.30023,0.00600,0.02859,3.868
0.32422,0.00648,0.03093,3.887
0.34857,0.00697,0.03330,3.912
0.37402,0.00748,0.03575,3.932
0.40001,0.00800,0.03830,3.955
0.42600,0.00852,0.04082,3.983
0.45362,0.00907,0.04347,4.005
0.48125,0.00962,0.04608,4.023
0.50878,0.01018,0.04874,4.053
0.53721,0.01074,0.05147,4.072
0.56637,0.01133,0.05422,4.096
0.59553,0.01191,0.05704,4.123
0.62535,0.01251,0.06002,4.145
0.65622,0.01312,0.06302,4.171
0.68673,0.01373,0.06610,4.197
0.71810,0.01436,0.06912,4.222
0.74955,0.01499,0.07235,4.244
0.78171,0.01563,0.07555,4.277
0.81474,0.01629,0.07884,4.300
0.84782,0.01696,0.08218,4.325
0.88144,0.01763,0.08570,4.336
0.91589,0.01832,0.08929,4.366
0.95036,0.01901,0.09303,4.391
0.98570,0.01971,0.09676,4.420
1.02084,0.02042,0.10033,4.451
1.05661,0.02113,0.10373,4.477
1.09249,0.02185,0.10710,4.498
1.12868,0.02257,0.11046,4.528
1.16473,0.02329,0.11385,4.546
1.20035,0.02401,0.11730,4.571
1.23670,0.02473,0.12075,4.592
1.27276,0.02546,0.12415,4.614
1.30942,0.02619,0.12752,4.639
1.34628,0.02693,0.13093,4.663
1.38274,0.02765,0.13430,4.687
1.41874,0.02837,0.13768,4.711
1.45545,0.02911,0.14109,4.732
1.49186,0.02984,0.14447,4.754
1.52864,0.03057,0.14771,4.771
1.56578,0.03132,0.15117,4.795
1.60261,0.03205,0.15447,4.813
1.63915,0.03278,0.15780,4.829
1.67562,0.03351,0.16112,4.852
1.71210,0.03424,0.16442,4.882
1.74818,0.03496,0.16777,4.897
1.78451,0.03569,0.17112,4.912
1.82149,0.03643,0.17438,4.937
1.85828,0.03717,0.17768,4.951
1.89479,0.03790,0.18102,4.970
1.93116,0.03862,0.18425,4.995
1.96813,0.03936,0.18759,4.999
2.00451,0.04009,0.19092,5.026
2.04081,0.04082,0.19421,5.035
2.07732,0.04155,0.19743,5.054
2.11408,0.04228,0.20081,5.075
2.15079,0.04302,0.20404,5.092
2.18684,0.04374,0.20727,5.112
2.22296,0.04446,0.21046,5.124
2.25898,0.04518,0.21373,5.134
2.29507,0.04590,0.21694,5.144
2.33111,0.04662,0.22022,5.157
2.36743,0.04735,0.22347,5.174
2.40346,0.04807,0.22666,5.192
2.43941,0.04879,0.22991,5.217
2.47539,0.04951,0.23311,5.232
2.51116,0.05022,0.23633,5.234
2.54694,0.05094,0.23950,5.243
2.58302,0.05166,0.24268,5.254
2.61860,0.05237,0.24583,5.266
2.65477,0.05310,0.24903,5.282
2.69037,0.05381,0.25215,5.295
2.72604,0.05452,0.25532,5.310
2.76092,0.05522,0.25845,5.323
2.79684,0.05594,0.26157,5.335
2.83214,0.05664,0.26465,5.346
2.86764,0.05735,0.26779,5.352
2.90363,0.05807,0.27091,5.361
2.93888,0.05878,0.27406,5.372
2.97397,0.05948,0.27718,5.393
3.00882,0.06018,0.28026,5.409
3.04418,0.06088,0.28344,5.411
3.07925,0.06159,0.28646,5.427
3.11443,0.06229,0.28948,5.435
3.14971,0.06299,0.29261,5.436
3.18491,0.06370,0.29559,5.455
3.21943,0.06439,0.29856,5.455
3.25438,0.06509,0.30158,5.474
3.28873,0.06577,0.30458,5.478
3.32356,0.06647,0.30759,5.489
3.35830,0.06717,0.31066,5.509
3.39299,0.06786,0.31364,5.510
3.42741,0.06855,0.31660,5.525
3.46150,0.06923,0.31962,5.533
3.49583,0.06992,0.32261,5.549
3.52973,0.07059,0.32557,5.554
3.56372,0.07127,0.32851,5.564
3.59753,0.07195,0.33144,5.573
3.63120,0.07262,0.33434,5.572
3.66499,0.07330,0.33716,5.580
3.69879,0.07398,0.34007,5.588
3.73172,0.07463,0.34296,5.591
3.76505,0.07530,0.34584,5.597
3.79748,0.07595,0.34866,5.609
3.83065,0.07661,0.35142,5.614
3.86326,0.07727,0.35419,5.631
3.89627,0.07793,0.35696,5.632
3.92888,0.07858,0.35971,5.633
3.96141,0.07923,0.36241,5.639
3.99333,0.07987,0.36510,5.645
4.02565,0.08051,0.36781,5.651
4.05755,0.08115,0.37052,5.657
4.08957,0.08179,0.37321,5.663
4.12123,0.08242,0.37593,5.672
4.15341,0.08307,0.37860,5.686
4.18557,0.08371,0.38124,5.684
4.21729,0.08435,0.38389,5.681
4.24880,0.08498,0.38652,5.683
4.28017,0.08560,0.38914,5.689
4.31109,0.08622,0.39179,5.702
4.34235,0.08685,0.39437,5.708
4.37288,0.08746,0.39697,5.711
4.40311,0.08806,0.39954,5.718
4.43379,0.08868,0.40205,5.720
4.46364,0.08927,0.40457,5.720
4.49359,0.08987,0.40702,5.726
4.52313,0.09046,0.40953,5.726
4.55274,0.09105,0.41207,5.737
4.58179,0.09164,0.41444,5.744
4.61083,0.09222,0.41692,5.751
4.63930,0.09279,0.41928,5.748
4.66783,0.09336,0.42163,5.752
4.69654,0.09393,0.42396,5.749
4.72435,0.09449,0.42630,5.755
4.75182,0.09504,0.42858,5.755
4.77866,0.09557,0.43087,5.765
4.80592,0.09612,0.43318,5.772
4.83231,0.09665,0.43540,5.771
4.85899,0.09718,0.43762,5.772
4.88509,0.09770,0.43980,5.771
4.91178,0.09824,0.44200,5.779
4.93765,0.09875,0.44418,5.777
4.96415,0.09928,0.44639,5.792
4.99025,0.09980,0.44855,5.784
5.01595,0.10032,0.45064,5.783
5.04191,0.10084,0.45280,5.786
5.06732,0.10135,0.45485,5.792
5.09234,0.10185,0.45703,5.803
5.11775,0.10235,0.45910,5.802
5.14279,0.10286,0.46123,5.803
5.16786,0.10336,0.46330,5.803
5.19286,0.10386,0.46536,5.810
5.21727,0.10435,0.46734,5.806
5.24196,0.10484,0.46941,5.817
5.26626,0.10533,0.47143,5.814
5.29021,0.10580,0.47342,5.825
5.31440,0.10629,0.47542,5.822
5.33818,0.10676,0.47753,5.816
5.36191,0.10724,0.47950,5.819
5.38545,0.10771,0.48149,5.814
5.40822,0.10816,0.48344,5.824
5.43157,0.10863,0.48532,5.828
