""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","2"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00001,0.00000,0.00000,0.000
0.00016,0.00000,-0.00002,-0.009
0.00048,0.00001,-0.00001,0.003
0.00091,0.00002,-0.00005,0.022
0.00156,0.00003,-0.00003,0.028
0.00276,0.00006,-0.00002,0.044
0.00451,0.00009,-0.00008,0.072
0.00682,0.00014,-0.00007,0.127
0.00976,0.00020,-0.00006,0.190
0.01326,0.00027,-0.00008,0.259
0.01729,0.00035,0.00000,0.378
0.02195,0.00044,0.00010,0.520
0.02725,0.00054,0.00025,0.700
0.03295,0.00066,0.00049,0.905
0.03945,0.00079,0.00083,1.146
0.04614,0.00092,0.00125,1.425
0.05381,0.00108,0.00176,1.750
0.06230,0.00125,0.00239,2.101
0.07212,0.00144,0.00315,2.476
0.08311,0.00166,0.00414,2.841
0.09699,0.00194,0.00560,3.182
0.11583,0.00232,0.00794,3.428
0.14019,0.00280,0.01137,3.529
0.16756,0.00335,0.01581,3.584
0.19767,0.00395,0.02063,3.606
0.22937,0.00459,0.02582,3.627
0.26294,0.00526,0.03111,3.645
0.29803,0.00596,0.03666,3.660
0.33409,0.00668,0.04247,3.690
0.37132,0.00743,0.04842,3.717
0.40879,0.00818,0.05452,3.750
0.44689,0.00894,0.06076,3.772
0.48507,0.00970,0.06698,3.792
0.52387,0.01048,0.07322,3.828
0.56302,0.01126,0.07950,3.853
0.60205,0.01204,0.08588,3.895
0.64145,0.01283,0.09249,3.920
0.68041,0.01361,0.09919,3.948
0.72008,0.01440,0.10580,3.978
0.75974,0.01519,0.11229,4.006
0.79910,0.01598,0.11871,4.035
0.83952,0.01679,0.12503,4.067
0.87858,0.01757,0.13138,4.089
0.91831,0.01837,0.13756,4.113
0.95742,0.01915,0.14381,4.143
0.99664,0.01993,0.14990,4.184
1.03582,0.02072,0.15607,4.200
1.07533,0.02151,0.16226,4.222
1.11471,0.02229,0.16838,4.255
1.15354,0.02307,0.17448,4.285
1.19278,0.02386,0.18057,4.307
1.23182,0.02464,0.18666,4.336
1.27007,0.02540,0.19281,4.339
1.30928,0.02619,0.19893,4.381
1.34810,0.02696,0.20497,4.400
1.38678,0.02774,0.21098,4.428
1.42548,0.02851,0.21696,4.442
1.46377,0.02928,0.22282,4.460
1.50229,0.03005,0.22868,4.490
1.54063,0.03081,0.23454,4.522
1.57897,0.03158,0.24031,4.533
1.61745,0.03235,0.24614,4.546
1.65567,0.03311,0.25191,4.579
1.69363,0.03387,0.25776,4.597
1.73097,0.03462,0.26361,4.613
1.76862,0.03537,0.26932,4.634
1.80588,0.03612,0.27500,4.663
1.84381,0.03688,0.28058,4.683
1.88086,0.03762,0.28621,4.689
1.91776,0.03836,0.29180,4.706
1.95478,0.03910,0.29738,4.726
1.99131,0.03983,0.30278,4.746
2.02774,0.04055,0.30830,4.763
2.06388,0.04128,0.31373,4.766
2.10036,0.04201,0.31917,4.796
2.13633,0.04273,0.32453,4.813
2.17160,0.04343,0.32988,4.821
2.20703,0.04414,0.33510,4.832
2.24175,0.04483,0.34027,4.847
2.27648,0.04553,0.34548,4.865
2.31132,0.04623,0.35063,4.886
2.34600,0.04692,0.35577,4.892
2.38062,0.04761,0.36096,4.900
2.41475,0.04829,0.36611,4.913
2.44882,0.04898,0.37116,4.938
2.48269,0.04965,0.37622,4.951
2.51580,0.05032,0.38118,4.953
2.54946,0.05099,0.38615,4.965
2.58230,0.05165,0.39107,4.975
2.61578,0.05232,0.39592,5.001
2.64889,0.05298,0.40085,5.012
2.68144,0.05363,0.40567,5.016
2.71393,0.05428,0.41053,5.026
2.74575,0.05491,0.41531,5.028
2.77730,0.05555,0.42005,5.053
2.80907,0.05618,0.42465,5.060
2.84004,0.05680,0.42924,5.069
2.87085,0.05742,0.43382,5.078
2.90160,0.05803,0.43838,5.079
2.93179,0.05864,0.44272,5.095
2.96156,0.05923,0.44705,5.107
2.99090,0.05982,0.45141,5.113
3.01945,0.06039,0.45570,5.116
3.04780,0.06096,0.45991,5.121
3.07516,0.06150,0.46396,5.120
3.10251,0.06205,0.46796,5.132
3.12894,0.06258,0.47187,5.143
3.15528,0.06311,0.47571,5.142
3.18124,0.06362,0.47948,5.157
3.20676,0.06414,0.48326,5.166
3.23238,0.06465,0.48700,5.176
3.25742,0.06515,0.49062,5.185
3.28168,0.06563,0.49427,5.185
3.30616,0.06612,0.49787,5.194
3.33035,0.06661,0.50140,5.200
3.35433,0.06709,0.50488,5.202
3.37811,0.06756,0.50836,5.203
3.40145,0.06803,0.51180,5.210
3.42442,0.06849,0.51517,5.229
3.44704,0.06894,0.51844,5.231
3.46930,0.06939,0.52175,5.232
3.49148,0.06983,0.52503,5.242
3.51301,0.07026,0.52821,5.241
3.53397,0.07068,0.53134,5.243
3.55522,0.07110,0.53441,5.249
3.57603,0.07152,0.53746,5.251
3.59675,0.07193,0.54055,5.256
3.61734,0.07235,0.54352,5.255
3.63779,0.07276,0.54649,5.270
3.65845,0.07317,0.54942,5.275
3.67881,0.07358,0.55236,5.279
3.69875,0.07398,0.55531,5.288
3.71895,0.07438,0.55825,5.289
3.73852,0.07477,0.56117,5.284
3.75829,0.07517,0.56409,5.291
3.77791,0.07556,0.56686,5.297
3.79628,0.07593,0.56964,5.299
3.81565,0.07631,0.57245,5.303
3.83448,0.07669,0.57517,5.316
3.85340,0.07707,0.57796,5.312
