""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","2"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
3.87230,0.07745,0.58072,5.315
3.89096,0.07782,0.58342,5.319
3.90978,0.07820,0.58616,5.311
3.92887,0.07858,0.58881,5.332
3.94764,0.07895,0.59159,5.330
3.96648,0.07933,0.59431,5.339
3.98534,0.07971,0.59713,5.339
4.00412,0.08008,0.59981,5.336
4.02267,0.08045,0.60252,5.340
4.04150,0.08083,0.60524,5.355
4.05995,0.08120,0.60795,5.356
4.07885,0.08158,0.61070,5.358
4.09763,0.08195,0.61342,5.348
4.11646,0.08233,0.61604,5.365
4.13528,0.08271,0.61876,5.377
4.15437,0.08309,0.62152,5.369
4.17362,0.08347,0.62429,5.368
4.19270,0.08385,0.62702,5.379
4.21188,0.08424,0.62967,5.393
4.23104,0.08462,0.63239,5.379
4.24993,0.08500,0.63519,5.395
4.26901,0.08538,0.63796,5.389
4.28851,0.08577,0.64065,5.391
4.30745,0.08615,0.64342,5.409
4.32667,0.08653,0.64616,5.406
4.34654,0.08693,0.64901,5.399
4.36577,0.08732,0.65177,5.401
4.38551,0.08771,0.65453,5.408
4.40553,0.08811,0.65732,5.422
4.42573,0.08851,0.66025,5.420
4.44600,0.08892,0.66316,5.424
4.46655,0.08933,0.66606,5.424
4.48700,0.08974,0.66899,5.434
4.50700,0.09014,0.67194,5.439
4.52784,0.09056,0.67486,5.445
4.54835,0.09097,0.67785,5.438
4.56896,0.09138,0.68082,5.445
4.58999,0.09180,0.68377,5.444
4.61150,0.09223,0.68677,5.450
4.63272,0.09265,0.68976,5.459
4.65442,0.09309,0.69279,5.461
4.67604,0.09352,0.69598,5.471
4.69820,0.09396,0.69912,5.466
4.72021,0.09440,0.70223,5.471
4.74261,0.09485,0.70533,5.475
4.76514,0.09530,0.70847,5.485
4.78771,0.09575,0.71177,5.481
4.81062,0.09621,0.71504,5.486
4.83296,0.09666,0.71821,5.491
4.85633,0.09713,0.72146,5.496
4.87952,0.09759,0.72474,5.500
4.90272,0.09805,0.72812,5.502
4.92683,0.09854,0.73150,5.498
4.95098,0.09902,0.73486,5.518
4.97572,0.09951,0.73822,5.527
5.00054,0.10001,0.74179,5.519
5.02513,0.10050,0.74532,5.515
5.05074,0.10101,0.74874,5.536
5.07615,0.10152,0.75234,5.533
5.10227,0.10205,0.75604,5.538
5.12876,0.10258,0.75970,5.536
5.15519,0.10310,0.76340,5.537
5.18205,0.10364,0.76710,5.544
5.20941,0.10419,0.77099,5.547
5.23711,0.10474,0.77491,5.540
5.26494,0.10530,0.77868,5.552
5.29271,0.10585,0.78268,5.558
5.32162,0.10643,0.78667,5.552
5.35025,0.10701,0.79075,5.564
5.37939,0.10759,0.79473,5.566
5.40897,0.10818,0.79897,5.556
5.43901,0.10878,0.80314,5.569
5.46975,0.10939,0.80730,5.583
5.50046,0.11001,0.81155,5.582
5.53053,0.11061,0.81588,5.587
5.56164,0.11123,0.82026,5.587
5.59296,0.11186,0.82447,5.603
5.62396,0.11248,0.82892,5.602
5.65581,0.11312,0.83343,5.600
5.68731,0.11375,0.83774,5.602
5.71947,0.11439,0.84216,5.614
5.75197,0.11504,0.84671,5.606
5.78448,0.11569,0.85116,5.612
5.81691,0.11634,0.85566,5.620
5.84991,0.11700,0.86009,5.632
5.88221,0.11764,0.86467,5.628
5.91497,0.11830,0.86929,5.623
5.94829,0.11897,0.87383,5.626
5.98195,0.11964,0.87838,5.640
6.01553,0.12031,0.88300,5.636
6.04889,0.12098,0.88764,5.626
6.08307,0.12166,0.89218,5.642
6.11673,0.12233,0.89679,5.643
6.15074,0.12301,0.90141,5.656
6.18471,0.12369,0.90614,5.655
6.21884,0.12438,0.91078,5.652
6.25324,0.12506,0.91533,5.653
6.28764,0.12575,0.91998,5.654
6.32135,0.12643,0.92472,5.649
6.35585,0.12712,0.92940,5.660
6.38985,0.12780,0.93389,5.668
6.42427,0.12849,0.93859,5.671
6.45838,0.12917,0.94335,5.670
6.49288,0.12986,0.94791,5.671
6.52763,0.13055,0.95241,5.679
6.56175,0.13124,0.95711,5.677
6.59587,0.13192,0.96183,5.670
6.63006,0.13260,0.96636,5.691
6.66406,0.13328,0.97105,5.685
6.69846,0.13397,0.97586,5.676
6.73294,0.13466,0.98036,5.684
6.76736,0.13535,0.98494,5.681
6.80161,0.13603,0.98958,5.674
6.83567,0.13671,0.99417,5.690
6.86982,0.13740,0.99863,5.694
6.90313,0.13806,1.00327,5.695
6.93708,0.13874,1.00788,5.699
6.97095,0.13942,1.01230,5.703
7.00481,0.14010,1.01687,5.697
7.03873,0.14077,1.02145,5.691
7.07258,0.14145,1.02584,5.703
7.10625,0.14213,1.03036,5.704
7.13956,0.14279,1.03500,5.688
7.17244,0.14345,1.03931,5.707
7.20563,0.14411,1.04371,5.713
7.23828,0.14477,1.04821,5.698
7.27105,0.14542,1.05254,5.695
7.30430,0.14609,1.05684,5.711
7.33671,0.14673,1.06126,5.708
7.36901,0.14738,1.06571,5.707
7.40149,0.14803,1.06992,5.725
7.43285,0.14866,1.07425,5.714
7.46528,0.14931,1.07868,5.716
7.49683,0.14994,1.08294,5.719
7.52858,0.15057,1.08707,5.718
7.56047,0.15121,1.09136,5.721
7.59207,0.15184,1.09560,5.714
7.62287,0.15246,1.09974,5.724
7.65405,0.15308,1.10381,5.722
7.68461,0.15369,1.10805,5.723
7.71516,0.15430,1.11214,5.712
7.74551,0.15491,1.11605,5.731
7.77557,0.15551,1.12019,5.724
7.80595,0.15612,1.12422,5.711
7.83577,0.15672,1.12822,5.714
7.86519,0.15730,1.13208,5.726
7.89465,0.15789,1.13593,5.722
7.92328,0.15847,1.13990,5.718
7.95140,0.15903,1.14366,5.713
7.97972,0.15959,1.14735,5.732
8.00776,0.16016,1.15113,5.732
8.03529,0.16071,1.15487,5.716
8.06282,0.16126,1.15849,5.722
8.09038,0.16181,1.16209,5.739
8.11726,0.16235,1.16574,5.719
8.14363,0.16287,1.16929,5.720
8.17001,0.16340,1.17271,5.731
8.19543,0.16391,1.17617,5.720
8.22068,0.16441,1.17973,5.726
8.24602,0.16492,1.18305,5.729
8.27054,0.16541,1.18626,5.722
8.29504,0.16590,1.18960,5.723
8.31934,0.16639,1.19286,5.717
8.34313,0.16686,1.19594,5.723
8.36690,0.16734,1.19906,5.734
8.38998,0.16780,1.20226,5.722
8.41305,0.16826,1.20536,5.722
8.43578,0.16872,1.20830,5.731
8.45772,0.16915,1.21135,5.729
8.48014,0.16960,1.21439,5.715
8.50190,0.17004,1.21729,5.719
8.52385,0.17048,1.22014,5.733
8.54549,0.17091,1.22310,5.732
8.56689,0.17134,1.22602,5.719
8.58817,0.17176,1.22885,5.728
8.60931,0.17219,1.23157,5.726
8.62991,0.17260,1.23444,5.714
8.65032,0.17301,1.23725,5.717
8.67141,0.17343,1.23991,5.724
8.69172,0.17383,1.24268,5.729
8.71149,0.17423,1.24541,5.710
8.73163,0.17463,1.24801,5.734
8.75162,0.17503,1.25074,5.736
8.77105,0.17542,1.25342,5.714
8.79124,0.17582,1.25600,5.722
8.81082,0.17622,1.25866,5.731
8.83072,0.17661,1.26138,5.717
8.85026,0.17701,1.26393,5.732
8.86992,0.17740,1.26651,5.732
8.88953,0.17779,1.26918,5.727
8.90858,0.17817,1.27172,5.734
8.92828,0.17857,1.27428,5.720
8.94792,0.17896,1.27698,5.721
8.96685,0.17934,1.27959,5.718
8.98638,0.17973,1.28218,5.733
9.00578,0.18012,1.28485,5.721
9.02542,0.18051,1.28747,5.722
9.04495,0.18090,1.29006,5.731
9.06414,0.18128,1.29268,5.726
9.08397,0.18168,1.29538,5.732
9.10381,0.18208,1.29799,5.728
9.12362,0.18247,1.30059,5.727
9.14344,0.18287,1.30329,5.735
9.16284,0.18326,1.30599,5.721
9.18257,0.18365,1.30859,5.735
9.20296,0.18406,1.31121,5.746
9.22222,0.18444,1.31398,5.730
9.24235,0.18485,1.31667,5.736
9.26241,0.18525,1.31926,5.741
9.28256,0.18565,1.32206,5.739
9.30243,0.18605,1.32477,5.729
9.32263,0.18645,1.32745,5.725
9.34319,0.18686,1.33019,5.748
9.36346,0.18727,1.33308,5.735
9.38431,0.18769,1.33578,5.741
9.40501,0.18810,1.33855,5.744
9.42504,0.18850,1.34143,5.728
9.44617,0.18892,1.34420,5.729
9.46710,0.18934,1.34694,5.731
9.48768,0.18975,1.34983,5.729
9.50886,0.19018,1.35277,5.740
9.53025,0.19061,1.35555,5.748
9.55125,0.19102,1.35842,5.733
9.57287,0.19146,1.36140,5.739
9.59436,0.19189,1.36421,5.742
9.61635,0.19233,1.36714,5.745
9.63826,0.19277,1.37015,5.745
9.66007,0.19320,1.37301,5.740
9.68222,0.19364,1.37604,5.745
9.70461,0.19409,1.37911,5.740
9.72677,0.19454,1.38224,5.741
9.74950,0.19499,1.38523,5.743
9.77215,0.19544,1.38834,5.745
9.79494,0.19590,1.39156,5.725
9.81806,0.19636,1.39466,5.749
9.84126,0.19683,1.39779,5.748
9.86463,0.19729,1.40103,5.739
9.88842,0.19777,1.40421,5.738
9.91222,0.19824,1.40733,5.749
9.93618,0.19872,1.41057,5.742
9.96029,0.19921,1.41385,5.746
9.98462,0.19969,1.41705,5.747
10.00920,0.20018,1.42040,5.751
10.03385,0.20068,1.42380,5.733
10.05908,0.20118,1.42710,5.748
10.08389,0.20168,1.43050,5.753
10.10914,0.20218,1.43397,5.743
10.13505,0.20270,1.43737,5.744
10.16089,0.20322,1.44078,5.752
10.18680,0.20374,1.44438,5.739
10.21286,0.20426,1.44782,5.742
10.23937,0.20479,1.45139,5.749
10.26593,0.20532,1.45501,5.744
10.29312,0.20586,1.45858,5.751
10.32036,0.20641,1.46223,5.759
10.34790,0.20696,1.46598,5.755
10.37561,0.20751,1.46974,5.747
10.40409,0.20808,1.47347,5.758
10.43221,0.20864,1.47735,5.749
10.46066,0.20921,1.48118,5.742
10.48963,0.20979,1.48509,5.753
10.51810,0.21036,1.48913,5.747
10.54743,0.21095,1.49309,5.740
10.57716,0.21154,1.49703,5.756
10.60687,0.21214,1.50113,5.756
10.63696,0.21274,1.50523,5.739
10.66750,0.21335,1.50922,5.757
10.69788,0.21396,1.51336,5.742
10.72784,0.21456,1.51750,5.750
10.75901,0.21518,1.52166,5.752
10.78926,0.21579,1.52589,5.755
10.82013,0.21640,1.53011,5.748
10.85140,0.21703,1.53422,5.753
10.88226,0.21765,1.53860,5.745
10.91424,0.21828,1.54289,5.755
10.94556,0.21891,1.54705,5.750
10.97685,0.21954,1.55139,5.755
11.00854,0.22017,1.55577,5.751
11.03956,0.22079,1.56004,5.757
11.07146,0.22143,1.56440,5.752
11.10332,0.22207,1.56882,5.747
11.13565,0.22271,1.57318,5.745
11.16809,0.22336,1.57768,5.746
11.20050,0.22401,1.58210,5.744
11.23277,0.22466,1.58658,5.748
11.26546,0.22531,1.59117,5.747
11.29762,0.22595,1.59572,5.739
11.33038,0.22661,1.60018,5.739
11.36293,0.22726,1.60476,5.732
11.39576,0.22792,1.60935,5.741
11.42875,0.22857,1.61384,5.756
11.46161,0.22923,1.61854,5.748
11.49410,0.22988,1.62312,5.751
11.52709,0.23054,1.62767,5.757
11.55954,0.23119,1.63243,5.749
11.59240,0.23185,1.63702,5.733
11.62520,0.23250,1.64165,5.744
11.65804,0.23316,1.64635,5.738
11.69125,0.23382,1.65098,5.734
11.72412,0.23448,1.65560,5.742
11.75672,0.23513,1.66030,5.744
11.78987,0.23580,1.66494,5.726
11.82269,0.23645,1.66967,5.729
11.85552,0.23711,1.67433,5.739
11.88832,0.23777,1.67906,5.739
11.92110,0.23842,1.68385,5.733
11.95426,0.23909,1.68872,5.734
11.98722,0.23974,1.69340,5.732
12.01973,0.24039,1.69816,5.738
12.05267,0.24105,1.70292,5.731
12.08460,0.24169,1.70769,5.732
12.11721,0.24234,1.71242,5.726
12.14979,0.24300,1.71723,5.729
12.18190,0.24364,1.72212,5.723
12.21469,0.24429,1.72697,5.732
12.24726,0.24495,1.73176,5.722
12.27953,0.24559,1.73669,5.729
12.31157,0.24623,1.74155,5.719
12.34324,0.24686,1.74646,5.722
12.37551,0.24751,1.75136,5.734
12.40770,0.24815,1.75637,5.721
12.43941,0.24879,1.76137,5.717
12.47184,0.24944,1.76620,5.725
12.50352,0.25007,1.77107,5.720
12.53533,0.25071,1.77596,5.711
12.56703,0.25134,1.78087,5.716
12.59794,0.25196,1.78569,5.721
12.62953,0.25259,1.79058,5.716
12.66021,0.25320,1.79550,5.707
12.69134,0.25383,1.80033,5.714
12.72274,0.25445,1.80512,5.715
12.75379,0.25508,1.80999,5.719
12.78458,0.25569,1.81488,5.715
12.81529,0.25631,1.81976,5.710
12.84610,0.25692,1.82472,5.715
12.87629,0.25753,1.82973,5.706
12.90660,0.25813,1.83479,5.705
12.93690,0.25874,1.83975,5.707
12.96682,0.25934,1.84469,5.707
12.99702,0.25994,1.84967,5.701
13.02667,0.26053,1.85465,5.697
13.05617,0.26112,1.85956,5.710
13.08563,0.26171,1.86455,5.695
13.11451,0.26229,1.86953,5.690
13.14335,0.26287,1.87444,5.686
13.17227,0.26345,1.87932,5.695
13.20122,0.26402,1.88426,5.704
13.22938,0.26459,1.88921,5.681
13.25795,0.26516,1.89414,5.692
13.28619,0.26572,1.89900,5.699
13.31423,0.26628,1.90393,5.688
13.34202,0.26684,1.90887,5.689
13.36946,0.26739,1.91373,5.688
13.39680,0.26794,1.91856,5.697
13.42402,0.26848,1.92349,5.691
13.45084,0.26902,1.92839,5.686
13.47823,0.26956,1.93321,5.679
13.50482,0.27010,1.93800,5.678
13.53131,0.27063,1.94278,5.689
13.55737,0.27115,1.94757,5.673
13.58269,0.27165,1.95229,5.671
13.60815,0.27216,1.95699,5.682
13.63307,0.27266,1.96179,5.678
13.65801,0.27316,1.96647,5.666
13.68270,0.27365,1.97107,5.673
13.70710,0.27414,1.97572,5.665
13.73141,0.27463,1.98031,5.667
13.75533,0.27511,1.98495,5.669
13.77948,0.27559,1.98958,5.664
13.80316,0.27606,1.99408,5.664
13.82615,0.27652,1.99865,5.664
13.84931,0.27699,2.00325,5.663
13.87204,0.27744,2.00774,5.653
13.89364,0.27787,2.01203,5.659
13.91538,0.27831,2.01630,5.663
13.93652,0.27873,2.02051,5.663
13.95736,0.27915,2.02462,5.651
13.97732,0.27955,2.02876,5.645
13.99780,0.27996,2.03280,5.656
14.01810,0.28036,2.03684,5.652
14.03821,0.28076,2.04095,5.649
14.05807,0.28116,2.04503,5.643
14.07775,0.28155,2.04906,5.644
14.09730,0.28195,2.05313,5.643
14.11729,0.28235,2.05724,5.641
14.13722,0.28274,2.06137,5.640
14.15630,0.28313,2.06560,5.636
14.17613,0.28352,2.06965,5.647
14.19599,0.28392,2.07384,5.645
14.21557,0.28431,2.07807,5.641
14.23491,0.28470,2.08229,5.635
14.25479,0.28510,2.08650,5.642
14.27441,0.28549,2.09072,5.640
14.29443,0.28589,2.09506,5.629
14.31440,0.28629,2.09930,5.638
14.33402,0.28668,2.10353,5.639
14.35359,0.28707,2.10781,5.634
14.37345,0.28747,2.11207,5.625
14.39344,0.28787,2.11642,5.639
14.41285,0.28826,2.12080,5.635
14.43349,0.28867,2.12520,5.629
14.45305,0.28906,2.12961,5.636
14.47311,0.28946,2.13401,5.629
14.49297,0.28986,2.13854,5.616
14.51334,0.29027,2.14304,5.619
14.53374,0.29067,2.14759,5.628
14.55466,0.29109,2.15223,5.612
14.57499,0.29150,2.15677,5.634
14.59512,0.29190,2.16135,5.611
14.61529,0.29231,2.16593,5.612
14.63583,0.29272,2.17057,5.630
14.65655,0.29313,2.17515,5.618
14.67634,0.29353,2.17996,5.615
14.69698,0.29394,2.18458,5.609
14.71806,0.29436,2.18944,5.607
14.73837,0.29477,2.19422,5.613
14.75915,0.29518,2.19911,5.588
14.78042,0.29561,2.20408,5.608
14.80170,0.29603,2.20909,5.608
14.82273,0.29645,2.21410,5.597
14.84423,0.29688,2.21917,5.601
14.86541,0.29731,2.22416,5.595
14.88704,0.29774,2.22922,5.600
14.90828,0.29817,2.23426,5.587
14.93000,0.29860,2.23926,5.592
14.95186,0.29904,2.24436,5.596
14.97389,0.29948,2.24958,5.592
14.99589,0.29992,2.25470,5.602
15.00421,0.30036,2.25987,5.583
15.00944,0.30080,2.26510,5.580
15.01475,0.30125,2.27041,5.581
15.02005,0.30170,2.27571,5.571
15.02536,0.30215,2.28102,5.576
15.03058,0.30259,2.28624,5.567
15.03584,0.30305,2.29150,5.563
15.04114,0.30352,2.29680,5.569
15.04649,0.30397,2.30215,5.557
15.05170,0.30444,2.30736,5.571
15.05695,0.30491,2.31261,5.563
15.06217,0.30537,2.31783,5.556
15.06753,0.30585,2.32319,5.555
15.07292,0.30634,2.32858,5.555
15.07838,0.30684,2.33404,5.544
15.08392,0.30733,2.33958,5.540
15.08948,0.30782,2.34514,5.541
15.09528,0.30833,2.35094,5.541
15.10107,0.30883,2.35673,5.537
15.10688,0.30933,2.36254,5.526
15.11281,0.30985,2.36847,5.530
15.11882,0.31036,2.37447,5.530
15.12487,0.31089,2.38053,5.521
15.13096,0.31141,2.38662,5.517
15.13717,0.31194,2.39283,5.509
15.14341,0.31248,2.39907,5.520
15.14978,0.31302,2.40544,5.509
15.15615,0.31356,2.41181,5.493
15.16254,0.31410,2.41820,5.502
15.16915,0.31464,2.42481,5.488
15.17606,0.31520,2.43172,5.489
15.18301,0.31576,2.43867,5.498
15.19017,0.31632,2.44583,5.474
15.19705,0.31689,2.45271,5.472
15.20416,0.31747,2.45982,5.467
15.21146,0.31804,2.46712,5.451
16.29773,0.31863,3.55339,5.448
16.31483,0.31920,3.57049,5.441
16.33063,0.31978,3.58629,5.436
16.34722,0.32037,3.60288,5.441
16.36622,0.32096,3.62188,5.427
16.38466,0.32155,3.64032,5.428
16.40147,0.32215,3.65713,5.416
16.41877,0.32276,3.67443,5.404
16.43685,0.32336,3.69251,5.402
16.45244,0.32398,3.70810,5.393
16.46852,0.32458,3.72418,5.376
16.48475,0.32521,3.74041,5.379
16.50099,0.32583,3.75665,5.361
16.51792,0.32645,3.77358,5.369
16.53578,0.32709,3.79144,5.334


