""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","12"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
0.86013,0.01720,0.08149,4.325
0.89143,0.01783,0.08442,4.343
0.92382,0.01848,0.08744,4.368
0.95579,0.01912,0.09043,4.387
0.98836,0.01977,0.09336,4.418
1.02181,0.02044,0.09641,4.447
1.05514,0.02110,0.09961,4.470
1.08887,0.02178,0.10282,4.485
1.12306,0.02246,0.10596,4.507
1.15766,0.02315,0.10921,4.544
1.19238,0.02385,0.11234,4.556
1.22676,0.02454,0.11553,4.586
1.26147,0.02523,0.11879,4.604
1.29620,0.02592,0.12206,4.633
1.33153,0.02663,0.12538,4.656
1.36730,0.02735,0.12859,4.680
1.40354,0.02807,0.13174,4.705
1.43922,0.02878,0.13501,4.717
1.47456,0.02949,0.13828,4.741
1.51003,0.03020,0.14162,4.758
1.54594,0.03092,0.14488,4.792
1.58236,0.03165,0.14810,4.811
1.61891,0.03238,0.15136,4.830
1.65487,0.03310,0.15465,4.836
1.69067,0.03381,0.15794,4.863
1.72695,0.03454,0.16131,4.886
1.76250,0.03525,0.16454,4.907
1.79869,0.03597,0.16776,4.926
1.83488,0.03670,0.17105,4.936
1.87097,0.03742,0.17423,4.951
1.90702,0.03814,0.17745,4.973
1.94288,0.03886,0.18058,5.007
1.97875,0.03957,0.18369,5.005
2.01481,0.04030,0.18684,5.031
2.05089,0.04102,0.18997,5.036
2.08659,0.04173,0.19323,5.064
2.12299,0.04246,0.19632,5.075
2.15914,0.04318,0.19954,5.094
2.19484,0.04390,0.20267,5.108
2.23108,0.04462,0.20580,5.117
2.26622,0.04532,0.20892,5.136
2.30242,0.04605,0.21215,5.156
2.33789,0.04676,0.21528,5.173
2.37378,0.04748,0.21848,5.191
2.40963,0.04819,0.22160,5.199
2.44531,0.04891,0.22465,5.210
2.48079,0.04962,0.22777,5.225
2.51633,0.05033,0.23092,5.239
2.55159,0.05103,0.23396,5.257
2.58707,0.05174,0.23706,5.271
2.62293,0.05246,0.24014,5.288
2.65875,0.05318,0.24323,5.289
2.69434,0.05389,0.24633,5.304
2.72950,0.05459,0.24942,5.317
2.76493,0.05530,0.25251,5.331
2.80002,0.05600,0.25553,5.342
2.83515,0.05670,0.25853,5.351
2.87086,0.05742,0.26158,5.364
2.90632,0.05813,0.26458,5.376
2.94161,0.05883,0.26769,5.389
2.97670,0.05953,0.27072,5.404
3.01221,0.06024,0.27376,5.408
3.04702,0.06094,0.27675,5.418
3.08225,0.06165,0.27979,5.423
3.11706,0.06234,0.28281,5.441
3.15234,0.06305,0.28567,5.457
3.18737,0.06375,0.28858,5.466
3.22234,0.06445,0.29151,5.471
3.25709,0.06514,0.29445,5.482
3.29163,0.06583,0.29732,5.494
3.32607,0.06652,0.30028,5.494
3.36060,0.06721,0.30320,5.511
3.39573,0.06791,0.30612,5.527
3.43044,0.06861,0.30902,5.525
3.46512,0.06930,0.31190,5.522
3.49914,0.06998,0.31483,5.536
3.53386,0.07068,0.31772,5.552
3.56780,0.07136,0.32059,5.566
3.60248,0.07205,0.32348,5.579
3.63642,0.07273,0.32631,5.575
3.67097,0.07342,0.32914,5.575
3.70557,0.07411,0.33202,5.586
3.73916,0.07478,0.33482,5.600
3.77324,0.07546,0.33764,5.610
3.80653,0.07613,0.34049,5.607
3.84042,0.07681,0.34326,5.612
3.87385,0.07748,0.34611,5.625
3.90749,0.07815,0.34883,5.621
3.94116,0.07882,0.35154,5.642
3.97446,0.07949,0.35433,5.659
4.00736,0.08015,0.35704,5.658
4.04052,0.08081,0.35972,5.651
4.07301,0.08146,0.36241,5.668
4.10593,0.08212,0.36506,5.667
4.13837,0.08277,0.36775,5.671
4.17081,0.08342,0.37047,5.681
4.20352,0.08407,0.37314,5.683
4.23572,0.08471,0.37588,5.686
4.26757,0.08535,0.37852,5.689
4.29950,0.08599,0.38117,5.700
4.33070,0.08661,0.38374,5.716
4.36197,0.08724,0.38623,5.707
4.39297,0.08786,0.38876,5.707
4.42403,0.08848,0.39125,5.719
4.45484,0.08910,0.39376,5.728
4.48560,0.08971,0.39625,5.734
4.51577,0.09032,0.39868,5.735
4.54626,0.09093,0.40109,5.728
4.57619,0.09152,0.40354,5.735
4.60601,0.09212,0.40593,5.751
4.63556,0.09271,0.40836,5.750
4.66532,0.09331,0.41074,5.769
4.69482,0.09390,0.41310,5.754
4.72415,0.09448,0.41554,5.753
4.75324,0.09506,0.41789,5.762
4.78194,0.09564,0.42028,5.772
4.81082,0.09622,0.42259,5.777
4.83898,0.09678,0.42490,5.782
4.86754,0.09735,0.42720,5.778
4.89588,0.09792,0.42949,5.771
4.92370,0.09847,0.43174,5.789
4.95152,0.09903,0.43399,5.788
4.97980,0.09960,0.43618,5.798
5.00777,0.10016,0.43840,5.793
5.03502,0.10070,0.44057,5.786
5.06265,0.10125,0.44277,5.795
5.08958,0.10179,0.44498,5.799
5.11626,0.10233,0.44712,5.805
5.14298,0.10286,0.44923,5.808
5.16993,0.10340,0.45132,5.809
5.19661,0.10393,0.45341,5.811
5.22284,0.10446,0.45551,5.812
5.24932,0.10499,0.45762,5.822
5.27535,0.10551,0.45966,5.823
5.30122,0.10602,0.46167,5.824
5.32736,0.10655,0.46369,5.816
5.35281,0.10706,0.46572,5.816
5.37708,0.10754,0.46769,5.830
5.40159,0.10803,0.46960,5.830
5.42591,0.10852,0.47151,5.831
5.45003,0.10900,0.47341,5.826
5.47402,0.10948,0.47539,5.827
5.49813,0.10996,0.47727,5.830
5.52219,0.11044,0.47917,5.841
5.54574,0.11091,0.48104,5.845
5.56898,0.11138,0.48290,5.838
5.59219,0.11184,0.48473,5.831
5.61528,0.11231,0.48660,5.847
5.63831,0.11277,0.48840,5.844
5.66126,0.11323,0.49018,5.859
5.68413,0.11368,0.49199,5.860
5.70721,0.11414,0.49373,5.862
5.72981,0.11460,0.49555,5.849
5.75269,0.11505,0.49728,5.859
5.77489,0.11550,0.49900,5.871
5.79758,0.11595,0.50069,5.875
5.81978,0.11640,0.50248,5.865
5.84244,0.11685,0.50422,5.870
5.86491,0.11730,0.50593,5.858
5.88690,0.11774,0.50767,5.860
5.90912,0.11818,0.50936,5.866
5.93167,0.11863,0.51111,5.866
5.95385,0.11908,0.51286,5.884
5.97603,0.11952,0.51453,5.864
5.99843,0.11997,0.51625,5.875
6.02113,0.12042,0.51803,5.875
6.04344,0.12087,0.51971,5.869
6.06554,0.12131,0.52150,5.866
6.08781,0.12176,0.52323,5.875
6.11008,0.12220,0.52498,5.885
6.13226,0.12265,0.52668,5.877
6.15454,0.12309,0.52842,5.882
6.17655,0.12353,0.53011,5.885
6.19886,0.12398,0.53181,5.885
6.22107,0.12442,0.53355,5.896
6.24338,0.12487,0.53523,5.900
6.26607,0.12532,0.53698,5.897
6.28812,0.12576,0.53867,5.895
6.31079,0.12622,0.54038,5.890
6.33261,0.12665,0.54204,5.890
6.35455,0.12709,0.54375,5.895
6.37663,0.12753,0.54544,5.905
6.39806,0.12796,0.54714,5.912
6.42002,0.12840,0.54878,5.894
6.44190,0.12884,0.55050,5.898
6.46374,0.12927,0.55208,5.905
6.48612,0.12972,0.55379,5.907
6.50806,0.13016,0.55544,5.910
6.53022,0.13060,0.55713,5.907
6.55242,0.13105,0.55877,5.906
6.57461,0.13149,0.56044,5.904
6.59676,0.13194,0.56216,5.911
6.61881,0.13238,0.56386,5.921
6.64112,0.13282,0.56552,5.917
6.66308,0.13326,0.56727,5.921
6.68531,0.13371,0.56899,5.917
6.70733,0.13415,0.57075,5.906
6.72955,0.13459,0.57243,5.916
6.75204,0.13504,0.57414,5.917
6.77471,0.13549,0.57587,5.917
6.79749,0.13595,0.57756,5.923
6.82007,0.13640,0.57933,5.918
6.84262,0.13685,0.58100,5.908
6.86486,0.13730,0.58274,5.910
6.88750,0.13775,0.58443,5.915
6.90973,0.13819,0.58616,5.930
6.93237,0.13865,0.58790,5.932
6.95495,0.13910,0.58957,5.926
6.97781,0.13956,0.59131,5.931
7.00062,0.14001,0.59299,5.916
7.02334,0.14047,0.59479,5.928
7.04653,0.14093,0.59652,5.923
7.06954,0.14139,0.59823,5.932
7.09244,0.14185,0.60002,5.927
7.11532,0.14231,0.60174,5.926
7.13835,0.14277,0.60339,5.935
7.16167,0.14323,0.60521,5.930
7.18413,0.14368,0.60694,5.929
7.20722,0.14414,0.60873,5.944
7.23096,0.14462,0.61052,5.934
7.25400,0.14508,0.61232,5.935
7.27714,0.14554,0.61412,5.924
7.30093,0.14602,0.61588,5.938
7.32450,0.14649,0.61765,5.939
7.34793,0.14696,0.61944,5.943
7.37118,0.14742,0.62122,5.940
7.39469,0.14789,0.62298,5.925
7.41830,0.14837,0.62480,5.934
7.44160,0.14883,0.62659,5.933
7.46502,0.14930,0.62836,5.941
7.48923,0.14978,0.63013,5.944
7.51324,0.15026,0.63193,5.943
7.53722,0.15074,0.63376,5.942
7.56124,0.15122,0.63560,5.943
7.58551,0.15171,0.63739,5.941
7.60958,0.15219,0.63916,5.946
7.63373,0.15267,0.64097,5.950
7.65832,0.15317,0.64277,5.948
7.68281,0.15366,0.64460,5.946
7.70704,0.15414,0.64643,5.943
7.73160,0.15463,0.64823,5.943
7.75591,0.15512,0.65007,5.952
7.78112,0.15562,0.65194,5.950
7.80611,0.15612,0.65373,5.947
7.83125,0.15663,0.65563,5.947
7.85652,0.15713,0.65744,5.942
7.88185,0.15764,0.65931,5.955
7.90704,0.15814,0.66120,5.957
7.93256,0.15865,0.66308,5.956
7.95738,0.15915,0.66497,5.947
7.98324,0.15966,0.66684,5.954
8.00896,0.16018,0.66871,5.953
8.03465,0.16069,0.67067,5.955
8.06082,0.16122,0.67256,5.958
8.08714,0.16174,0.67452,5.963
8.11306,0.16226,0.67639,5.967
8.13927,0.16279,0.67843,5.957
8.16538,0.16331,0.68037,5.948
8.19198,0.16384,0.68236,5.956
8.21808,0.16436,0.68432,5.969
8.24426,0.16489,0.68627,5.965
8.27062,0.16541,0.68821,5.967
8.29693,0.16594,0.69015,5.957
8.32398,0.16648,0.69213,5.956
8.35079,0.16702,0.69406,5.958
8.37756,0.16755,0.69610,5.960
8.40427,0.16809,0.69812,5.967
8.43139,0.16863,0.70013,5.968
8.45871,0.16917,0.70206,5.973
8.48555,0.16971,0.70404,5.963
8.51287,0.17026,0.70604,5.967
8.54007,0.17080,0.70802,5.962
8.56775,0.17136,0.71006,5.965
8.59542,0.17191,0.71210,5.965
8.62323,0.17246,0.71413,5.971
8.65129,0.17303,0.71614,5.971
8.67907,0.17358,0.71806,5.966
8.70702,0.17414,0.72017,5.967
8.73482,0.17470,0.72216,5.962
8.76301,0.17526,0.72427,5.957
8.79156,0.17583,0.72634,5.974
8.81972,0.17639,0.72838,5.974
8.84825,0.17696,0.73048,5.975
8.87711,0.17754,0.73260,5.966
8.90571,0.17811,0.73467,5.965
8.93406,0.17868,0.73676,5.959
8.96303,0.17926,0.73887,5.971
8.99126,0.17983,0.74093,5.973
9.02009,0.18040,0.74295,5.973
9.04888,0.18098,0.74508,5.978
9.07802,0.18156,0.74714,5.976
9.10708,0.18214,0.74922,5.976
9.13611,0.18272,0.75135,5.969
9.16546,0.18331,0.75352,5.967
9.19426,0.18389,0.75556,5.967
9.22341,0.18447,0.75768,5.973
9.25248,0.18505,0.75979,5.973
9.28172,0.18563,0.76191,5.965
9.31097,0.18622,0.76398,5.970
9.34043,0.18681,0.76614,5.964
9.36975,0.18739,0.76820,5.970
9.39940,0.18799,0.77032,5.972
9.42901,0.18858,0.77247,5.966
9.45851,0.18917,0.77464,5.975
9.48825,0.18977,0.77675,5.967
9.51738,0.19035,0.77889,5.966
9.54747,0.19095,0.78108,5.963
9.57661,0.19153,0.78324,5.971
9.60659,0.19213,0.78541,5.970
9.63662,0.19273,0.78761,5.975
9.66656,0.19333,0.78974,5.974
9.69617,0.19392,0.79187,5.968
9.72597,0.19452,0.79398,5.975
9.75597,0.19512,0.79611,5.968
9.78528,0.19571,0.79824,5.972
9.81496,0.19630,0.80044,5.971
9.84452,0.19689,0.80253,5.970
9.87470,0.19749,0.80472,5.967
9.90511,0.19810,0.80679,5.964
9.93518,0.19870,0.80897,5.966
9.96491,0.19930,0.81111,5.965
9.99489,0.19990,0.81326,5.976
10.02450,0.20049,0.81539,5.967
10.05447,0.20109,0.81755,5.974
10.08421,0.20168,0.81968,5.965
10.11408,0.20228,0.82178,5.970
10.14421,0.20288,0.82389,5.963
10.17437,0.20349,0.82602,5.965
10.20432,0.20409,0.82817,5.974
10.23412,0.20468,0.83035,5.965
10.26413,0.20528,0.83249,5.972
10.29381,0.20588,0.83464,5.968
10.32432,0.20649,0.83685,5.967
10.35396,0.20708,0.83900,5.964
10.38421,0.20768,0.84115,5.969
10.41456,0.20829,0.84332,5.969
10.44501,0.20890,0.84547,5.966
10.47505,0.20950,0.84755,5.972
10.50554,0.21011,0.84973,5.961
10.53570,0.21071,0.85190,5.964
10.56568,0.21131,0.85405,5.965
10.59577,0.21192,0.85621,5.958
10.62595,0.21252,0.85825,5.971
10.65611,0.21312,0.86037,5.962
10.68655,0.21373,0.86246,5.954
10.71669,0.21433,0.86466,5.957
10.74678,0.21494,0.86680,5.964
10.77682,0.21554,0.86892,5.960
10.80642,0.21613,0.87102,5.958
10.83681,0.21674,0.87309,5.962
10.86642,0.21733,0.87520,5.947
10.89638,0.21793,0.87729,5.955
10.92638,0.21853,0.87940,5.955
10.95622,0.21912,0.88154,5.956
10.98610,0.21972,0.88366,5.952
11.01597,0.22032,0.88576,5.956
11.04550,0.22091,0.88782,5.951
11.07495,0.22150,0.88990,5.951
11.10471,0.22209,0.89194,5.954
11.13408,0.22268,0.89403,5.951
11.16402,0.22328,0.89602,5.961
11.19395,0.22388,0.89804,5.958
11.22351,0.22447,0.90004,5.949
11.25291,0.22506,0.90216,5.956
11.28225,0.22564,0.90415,5.949
11.31179,0.22624,0.90625,5.949
11.34115,0.22682,0.90820,5.945
11.37046,0.22741,0.91021,5.947
11.39926,0.22799,0.91219,5.945
11.42857,0.22857,0.91418,5.934
11.45760,0.22915,0.91611,5.937
11.48670,0.22973,0.91809,5.940
11.51527,0.23031,0.92004,5.934
11.54437,0.23089,0.92198,5.945
11.57286,0.23146,0.92387,5.926
11.60100,0.23202,0.92580,5.929
11.62918,0.23258,0.92773,5.932
11.65720,0.23314,0.92962,5.938
11.68572,0.23371,0.93152,5.931
11.71429,0.23429,0.93332,5.927
11.74231,0.23485,0.93516,5.918
11.77003,0.23540,0.93703,5.929
11.79776,0.23596,0.93888,5.928
11.82571,0.23651,0.94067,5.923
11.85302,0.23706,0.94241,5.924
11.88066,0.23761,0.94417,5.924
11.90755,0.23815,0.94591,5.920
11.93497,0.23870,0.94767,5.924
11.96234,0.23925,0.94935,5.917
11.98929,0.23979,0.95110,5.923
12.01646,0.24033,0.95279,5.916
12.04335,0.24087,0.95445,5.913
12.07011,0.24140,0.95610,5.903
12.09571,0.24191,0.95774,5.914
12.12185,0.24244,0.95931,5.911
12.14815,0.24296,0.96086,5.916
12.17373,0.24347,0.96237,5.912
12.20019,0.24400,0.96389,5.908
12.22616,0.24452,0.96542,5.909
12.25196,0.24504,0.96685,5.901
12.27764,0.24555,0.96835,5.908
12.30296,0.24606,0.96971,5.899
12.32894,0.24658,0.97106,5.894
12.35403,0.24708,0.97239,5.890
12.37905,0.24758,0.97376,5.886
12.40454,0.24809,0.97511,5.894
12.42943,0.24859,0.97637,5.890
12.45469,0.24909,0.97764,5.892
12.48036,0.24961,0.97882,5.886
12.50561,0.25011,0.97999,5.883
12.53091,0.25062,0.98116,5.887
12.55532,0.25111,0.98229,5.875
12.58043,0.25161,0.98336,5.888
12.60525,0.25211,0.98444,5.876
12.62986,0.25260,0.98542,5.867
12.65488,0.25310,0.98640,5.865
12.67908,0.25358,0.98734,5.864
12.70347,0.25407,0.98826,5.864
12.72767,0.25455,0.98916,5.869
12.75225,0.25505,0.98997,5.864
12.77605,0.25552,0.99072,5.862
12.80005,0.25600,0.99140,5.848
12.82394,0.25648,0.99210,5.845
12.84780,0.25696,0.99280,5.846
12.87148,0.25743,0.99343,5.849
12.89529,0.25791,0.99401,5.836
12.91914,0.25838,0.99451,5.836
12.94308,0.25886,0.99499,5.828
12.96681,0.25934,0.99549,5.820
12.99075,0.25982,0.99593,5.821
13.01490,0.26030,0.99633,5.815
13.03908,0.26078,0.99664,5.808
13.06293,0.26126,0.99695,5.803
13.08657,0.26173,0.99720,5.800
13.11059,0.26221,0.99750,5.786
13.13357,0.26267,0.99778,5.783
13.15769,0.26315,0.99796,5.775
13.18188,0.26364,0.99813,5.767
13.20611,0.26412,0.99831,5.761
13.22976,0.26460,0.99848,5.745
13.25352,0.26507,0.99865,5.743
13.27811,0.26556,0.99879,5.745
13.30241,0.26605,0.99883,5.725
13.32626,0.26653,0.99887,5.713
13.35004,0.26700,0.99899,5.702
13.37391,0.26748,0.99907,5.697
13.39776,0.26796,0.99915,5.686
13.42195,0.26844,0.99920,5.670
13.44625,0.26892,0.99920,5.664
13.47031,0.26941,0.99921,5.650
13.49464,0.26989,0.99930,5.639
13.51886,0.27038,0.99936,5.627
13.54337,0.27087,0.99934,5.612
13.56831,0.27137,0.99931,5.596
13.59246,0.27185,0.99926,5.578
13.61672,0.27233,0.99946,5.562
13.64109,0.27282,0.99964,5.537
13.66568,0.27331,0.99949,5.526
13.69083,0.27382,0.99935,5.498
13.71431,0.27429,0.99986,5.473
13.73991,0.27480,0.99966,5.445
13.76479,0.27530,0.99966,5.425
13.79047,0.27581,0.99959,5.386
13.81610,0.27632,0.99960,5.347
13.84160,0.27683,0.99960,5.299
13.86707,0.27734,0.99951,5.258


