""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","12"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

-0.00004,0.00000,0.00003,0.005
0.00007,0.00000,-0.00002,0.004
0.00015,0.00000,0.00001,0.007
0.00016,0.00000,0.00005,0.014
0.00058,0.00001,0.00009,0.057
0.00108,0.00002,0.00013,0.110
0.00215,0.00004,0.00026,0.185
0.00349,0.00007,0.00036,0.265
0.00503,0.00010,0.00055,0.379
0.00698,0.00014,0.00067,0.502
0.00969,0.00019,0.00091,0.685
0.01297,0.00026,0.00114,0.861
0.01649,0.00033,0.00141,1.087
0.02103,0.00042,0.00171,1.318
0.02594,0.00052,0.00204,1.587
0.03122,0.00062,0.00240,1.885
0.03713,0.00074,0.00281,2.186
0.04378,0.00088,0.00325,2.506
0.05090,0.00102,0.00381,2.809
0.05918,0.00118,0.00443,3.087
0.06876,0.00138,0.00520,3.321
0.07995,0.00160,0.00629,3.479
0.09278,0.00186,0.00758,3.575
0.10753,0.00215,0.00902,3.654
0.12344,0.00247,0.01067,3.703
0.14080,0.00282,0.01240,3.727
0.16005,0.00320,0.01430,3.748
0.17939,0.00359,0.01626,3.763
0.19995,0.00400,0.01832,3.789
0.22132,0.00443,0.02039,3.807
0.24299,0.00486,0.02252,3.824
0.26523,0.00530,0.02468,3.841
0.28833,0.00577,0.02691,3.854
0.31193,0.00624,0.02909,3.877
0.33559,0.00671,0.03135,3.907
0.35986,0.00720,0.03371,3.918
0.38403,0.00768,0.03604,3.932
0.40906,0.00818,0.03845,3.962
0.43449,0.00869,0.04091,3.984
0.45958,0.00919,0.04330,4.004
0.48565,0.00971,0.04579,4.022
0.51198,0.01024,0.04831,4.036
0.53884,0.01078,0.05091,4.067
0.56629,0.01133,0.05347,4.089
0.59395,0.01188,0.05609,4.111
0.62229,0.01245,0.05879,4.133
0.65075,0.01302,0.06146,4.158
0.67940,0.01359,0.06415,4.184
0.70812,0.01416,0.06697,4.202
0.73789,0.01476,0.06985,4.225
0.76742,0.01535,0.07277,4.240
0.79797,0.01596,0.07566,4.268
0.82925,0.01659,0.07857,4.301
