""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","3"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

0.00039,0.00001,-0.00001,0.002
0.00004,0.00000,-0.00001,0.002
0.00020,0.00000,-0.00001,0.004
0.00033,0.00001,-0.00001,0.018
0.00041,0.00001,0.00007,0.036
0.00094,0.00002,0.00014,0.065
0.00143,0.00003,0.00020,0.109
0.00238,0.00005,0.00031,0.177
0.00351,0.00007,0.00049,0.249
0.00507,0.00010,0.00070,0.353
0.00753,0.00015,0.00097,0.480
0.01049,0.00021,0.00130,0.636
0.01414,0.00028,0.00166,0.835
0.01879,0.00038,0.00214,1.086
0.02431,0.00049,0.00264,1.355
0.03111,0.00062,0.00329,1.704
0.03926,0.00079,0.00402,2.088
0.04838,0.00097,0.00490,2.501
0.05958,0.00119,0.00610,2.910
0.07408,0.00148,0.00792,3.249
0.09322,0.00186,0.01077,3.447
0.11725,0.00235,0.01472,3.546
0.14585,0.00292,0.01945,3.607
0.17720,0.00354,0.02499,3.616
0.21135,0.00423,0.03106,3.629
0.24682,0.00494,0.03723,3.659
0.28349,0.00567,0.04360,3.669
0.32112,0.00642,0.04970,3.697
0.35953,0.00719,0.05587,3.720
0.39814,0.00796,0.06197,3.758
0.43663,0.00873,0.06811,3.782
0.47597,0.00952,0.07433,3.807
0.51473,0.01029,0.08053,3.839
0.55436,0.01109,0.08680,3.866
0.59397,0.01188,0.09317,3.888
0.63360,0.01267,0.09954,3.935
0.67332,0.01347,0.10600,3.966
0.71284,0.01426,0.11241,3.983
0.75341,0.01507,0.11882,4.024
0.79349,0.01587,0.12530,4.059
0.83430,0.01669,0.13171,4.071
0.87476,0.01750,0.13807,4.106
0.91549,0.01831,0.14432,4.142
0.95525,0.01910,0.15051,4.161
0.99554,0.01991,0.15669,4.196
1.03545,0.02071,0.16273,4.231
1.07543,0.02151,0.16890,4.240
1.11529,0.02231,0.17513,4.282
1.15468,0.02309,0.18130,4.293
1.19398,0.02388,0.18729,4.314
1.23252,0.02465,0.19333,4.350
1.27137,0.02543,0.19924,4.369
1.31000,0.02620,0.20519,4.403
1.34877,0.02698,0.21108,4.415
1.38739,0.02775,0.21704,4.442
1.42578,0.02852,0.22287,4.458
1.46361,0.02927,0.22878,4.482
1.50194,0.03004,0.23455,4.502
1.53986,0.03080,0.24030,4.522
1.57793,0.03156,0.24610,4.557
1.61578,0.03232,0.25175,4.567
1.65347,0.03307,0.25756,4.578
1.69102,0.03382,0.26314,4.607
1.72736,0.03455,0.26883,4.625
1.76456,0.03529,0.27447,4.642
1.80109,0.03602,0.28015,4.680
1.83745,0.03675,0.28575,4.672
1.87441,0.03749,0.29123,4.697
1.91015,0.03820,0.29673,4.710
1.94656,0.03893,0.30213,4.738
1.98193,0.03964,0.30757,4.744
2.01739,0.04035,0.31282,4.762
2.05225,0.04104,0.31815,4.783
2.08709,0.04174,0.32335,4.794
2.12192,0.04244,0.32861,4.808
2.15646,0.04313,0.33373,4.826
2.19060,0.04381,0.33879,4.834
2.22467,0.04449,0.34397,4.847
2.25802,0.04516,0.34896,4.863
2.29112,0.04582,0.35381,4.870
2.32424,0.04648,0.35869,4.887
2.35690,0.04714,0.36348,4.904
2.38945,0.04779,0.36831,4.924
2.42171,0.04843,0.37307,4.923
2.45298,0.04906,0.37776,4.936
2.48481,0.04970,0.38247,4.950
2.51555,0.05031,0.38713,4.957
2.54696,0.05094,0.39167,4.972
2.57714,0.05154,0.39624,4.972
2.60781,0.05216,0.40075,4.988
2.63843,0.05277,0.40516,5.014
2.66829,0.05337,0.40960,5.011
2.69727,0.05395,0.41389,5.019
2.72671,0.05453,0.41819,5.032
2.75466,0.05509,0.42242,5.036
2.78285,0.05566,0.42660,5.042
2.81045,0.05621,0.43060,5.057
2.83778,0.05676,0.43464,5.065
2.86489,0.05730,0.43863,5.069
2.89172,0.05783,0.44247,5.084
2.91849,0.05837,0.44632,5.096
2.94424,0.05888,0.45017,5.091
2.97000,0.05940,0.45385,5.103
2.99554,0.05991,0.45755,5.119
3.02012,0.06040,0.46124,5.120
3.04449,0.06089,0.46481,5.115
3.06941,0.06139,0.46825,5.137
3.09303,0.06186,0.47174,5.135
3.11705,0.06234,0.47519,5.139
3.14103,0.06282,0.47864,5.161
3.16405,0.06328,0.48199,5.147
3.18666,0.06373,0.48531,5.153
3.20934,0.06419,0.48857,5.168
3.23180,0.06464,0.49180,5.168
3.25416,0.06508,0.49494,5.187
3.27544,0.06551,0.49804,5.185
3.29678,0.06594,0.50117,5.176
3.31839,0.06637,0.50414,5.199
3.33909,0.06678,0.50719,5.201
3.36009,0.06720,0.51025,5.199
3.38118,0.06762,0.51321,5.211
3.40229,0.06805,0.51621,5.211
3.42307,0.06846,0.51918,5.213
3.44388,0.06888,0.52217,5.234
3.46417,0.06928,0.52517,5.229
3.48503,0.06970,0.52805,5.233
3.50499,0.07010,0.53098,5.233
3.52532,0.07051,0.53392,5.236
3.54566,0.07091,0.53682,5.259
3.56600,0.07132,0.53980,5.245
3.58627,0.07173,0.54259,5.259
3.60592,0.07212,0.54547,5.262
3.62594,0.07252,0.54839,5.264
3.64620,0.07292,0.55118,5.270
3.66604,0.07332,0.55406,5.273
3.68658,0.07373,0.55695,5.281
3.70626,0.07413,0.55976,5.280
3.72613,0.07452,0.56274,5.287
3.74617,0.07492,0.56558,5.287
3.76591,0.07532,0.56844,5.304
3.78553,0.07571,0.57139,5.303
3.80579,0.07612,0.57428,5.303
3.82583,0.07652,0.57720,5.320
3.84571,0.07691,0.58016,5.306
3.86636,0.07733,0.58308,5.316
3.88654,0.07773,0.58603,5.324
3.90684,0.07814,0.58896,5.318
3.92774,0.07855,0.59185,5.329
3.94829,0.07897,0.59479,5.339
3.96871,0.07937,0.59780,5.340
3.98941,0.07979,0.60068,5.347
4.01010,0.08020,0.60366,5.346
4.03059,0.08061,0.60663,5.353
4.05125,0.08103,0.60955,5.363
4.07197,0.08144,0.61252,5.361
4.09274,0.08185,0.61559,5.359
4.11367,0.08227,0.61852,5.375
4.13478,0.08270,0.62148,5.377
4.15558,0.08311,0.62460,5.375
4.17706,0.08354,0.62765,5.379
4.19882,0.08398,0.63055,5.392
4.21994,0.08440,0.63365,5.383
4.24131,0.08483,0.63670,5.393
4.26314,0.08526,0.63972,5.405
4.28443,0.08569,0.64280,5.403
4.30558,0.08611,0.64595,5.395
4.32812,0.08656,0.64900,5.411
4.34983,0.08700,0.65216,5.414
4.37147,0.08743,0.65533,5.420
4.39431,0.08789,0.65839,5.422
4.41641,0.08833,0.66169,5.423
4.43929,0.08879,0.66489,5.439
4.46262,0.08925,0.66801,5.439
4.48482,0.08970,0.67128,5.447
4.50776,0.09016,0.67452,5.444
4.53134,0.09063,0.67770,5.442
4.55395,0.09108,0.68105,5.436
4.57750,0.09155,0.68437,5.447
4.60143,0.09203,0.68760,5.454
4.62470,0.09249,0.69103,5.454
4.64973,0.09299,0.69430,5.467
4.67352,0.09347,0.69762,5.478
4.69749,0.09395,0.70109,5.464
4.72288,0.09446,0.70434,5.488
4.74735,0.09495,0.70778,5.483
4.77186,0.09544,0.71129,5.484
4.79769,0.09595,0.71467,5.499
4.82198,0.09644,0.71817,5.497
4.84799,0.09696,0.72185,5.500
4.87434,0.09749,0.72531,5.510
4.90009,0.09800,0.72892,5.513
4.92675,0.09854,0.73271,5.512
4.95409,0.09908,0.73638,5.535
4.98127,0.09963,0.74011,5.521
5.00858,0.10017,0.74405,5.519
5.03633,0.10073,0.74781,5.542
5.06442,0.10129,0.75166,5.531
5.09247,0.10185,0.75577,5.539
5.12182,0.10244,0.75972,5.548
5.15063,0.10301,0.76370,5.551
5.17981,0.10360,0.76791,5.549
5.21004,0.10420,0.77205,5.554
5.24022,0.10480,0.77615,5.562
5.26998,0.10540,0.78064,5.564
5.30076,0.10602,0.78494,5.569
5.33155,0.10663,0.78923,5.577
5.36200,0.10724,0.79374,5.570
5.39360,0.10787,0.79801,5.577
5.42463,0.10849,0.80233,5.576
5.45594,0.10912,0.80695,5.579
5.48886,0.10978,0.81121,5.593
5.52050,0.11041,0.81570,5.592
5.55209,0.11104,0.82041,5.592
5.58486,0.11170,0.82460,5.603
5.61646,0.11233,0.82926,5.611
5.64906,0.11298,0.83385,5.610
5.68190,0.11364,0.83819,5.618
5.71400,0.11428,0.84297,5.603
5.74765,0.11495,0.84736,5.618
5.78024,0.11560,0.85187,5.621
5.81286,0.11626,0.85661,5.616
5.84645,0.11693,0.86090,5.628
5.87831,0.11757,0.86537,5.622
5.91146,0.11823,0.87002,5.624
5.94502,0.11890,0.87427,5.631
5.97780,0.11956,0.87885,5.623
6.01147,0.12023,0.88343,5.640
6.04487,0.12090,0.88777,5.638
6.07739,0.12155,0.89249,5.634
6.11056,0.12221,0.89694,5.637
6.14369,0.12287,0.90117,5.640
6.17617,0.12352,0.90599,5.643
6.20977,0.12420,0.91020,5.651
6.24258,0.12485,0.91465,5.643
6.27549,0.12551,0.91932,5.651
6.30869,0.12617,0.92354,5.655
6.34134,0.12683,0.92807,5.652
6.37390,0.12748,0.93257,5.664
6.40671,0.12813,0.93675,5.657
6.43919,0.12878,0.94151,5.665
6.47276,0.12946,0.94569,5.666
6.50558,0.13011,0.95005,5.664
6.53789,0.13076,0.95464,5.666
6.57118,0.13142,0.95871,5.672
6.60355,0.13207,0.96325,5.664
6.63590,0.13272,0.96758,5.678
6.66924,0.13338,0.97173,5.678
6.70069,0.13401,0.97635,5.671
6.73412,0.13468,0.98039,5.686
6.76631,0.13533,0.98485,5.675
6.79864,0.13597,0.98928,5.681
6.83114,0.13662,0.99330,5.684
6.86293,0.13726,0.99778,5.692
6.89478,0.13790,1.00186,5.686
6.92651,0.13853,1.00587,5.686
6.95718,0.13914,1.01041,5.681
6.98908,0.13978,1.01419,5.701
7.02029,0.14041,1.01830,5.693
7.05112,0.14102,1.02258,5.692
7.08244,0.14165,1.02641,5.696
7.11290,0.14226,1.03053,5.693
7.14345,0.14287,1.03471,5.695
7.17398,0.14348,1.03846,5.694
7.20415,0.14408,1.04254,5.693
7.23349,0.14467,1.04663,5.691
7.26411,0.14528,1.05038,5.697
7.29438,0.14589,1.05435,5.703
7.32360,0.14647,1.05839,5.697
7.35330,0.14707,1.06217,5.706
7.38307,0.14766,1.06578,5.707
7.41110,0.14822,1.06989,5.701
