""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","6"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"

0.00032,0.00001,0.00001,0.000
0.00036,0.00001,-0.00001,-0.006
0.00034,0.00001,0.00001,0.004
0.00052,0.00001,0.00005,0.017
0.00063,0.00001,0.00003,0.036
0.00096,0.00002,0.00010,0.058
0.00152,0.00003,0.00019,0.101
0.00213,0.00004,0.00028,0.148
0.00325,0.00006,0.00042,0.209
0.00459,0.00009,0.00062,0.300
0.00658,0.00013,0.00081,0.391
0.00879,0.00018,0.00107,0.529
0.01163,0.00023,0.00133,0.670
0.01517,0.00030,0.00168,0.842
0.01887,0.00038,0.00200,1.021
0.02312,0.00046,0.00245,1.217
0.02821,0.00056,0.00284,1.432
0.03337,0.00067,0.00326,1.659
0.03898,0.00078,0.00372,1.899
0.04543,0.00091,0.00426,2.167
0.05237,0.00105,0.00479,2.425
0.06051,0.00121,0.00544,2.675
0.06962,0.00139,0.00625,2.902
0.08033,0.00161,0.00728,3.090
0.09306,0.00186,0.00873,3.220
0.10757,0.00215,0.01054,3.304
0.12492,0.00250,0.01269,3.358
0.14396,0.00288,0.01515,3.395
0.16429,0.00329,0.01789,3.423
0.18634,0.00373,0.02073,3.436
0.20936,0.00419,0.02367,3.447
0.23313,0.00466,0.02667,3.458
0.25772,0.00515,0.02975,3.469
0.28294,0.00566,0.03295,3.489
0.30855,0.00617,0.03620,3.525
0.33500,0.00670,0.03962,3.552
0.36137,0.00723,0.04314,3.570
0.38849,0.00777,0.04681,3.587
0.41547,0.00831,0.05062,3.604
0.44303,0.00886,0.05441,3.619
0.47111,0.00942,0.05830,3.647
0.49929,0.00999,0.06221,3.671
0.52798,0.01056,0.06607,3.695
0.55694,0.01114,0.07001,3.714
0.58627,0.01173,0.07395,3.742
0.61529,0.01231,0.07797,3.763
0.64489,0.01290,0.08193,3.774
0.67475,0.01349,0.08588,3.807
0.70515,0.01410,0.08986,3.838
0.73536,0.01471,0.09374,3.858
0.76683,0.01534,0.09782,3.881
0.79769,0.01595,0.10188,3.912
0.82927,0.01659,0.10588,3.928
0.86085,0.01722,0.11001,3.952
0.89242,0.01785,0.11414,3.983
0.92464,0.01849,0.11819,4.000
0.95633,0.01913,0.12233,4.022
0.98888,0.01978,0.12648,4.054
1.02153,0.02043,0.13066,4.062
1.05448,0.02109,0.13491,4.092
1.08801,0.02176,0.13917,4.114
1.12134,0.02243,0.14348,4.140
1.15473,0.02309,0.14778,4.158
1.18822,0.02376,0.15205,4.171
1.22214,0.02444,0.15636,4.196
1.25651,0.02513,0.16076,4.240
1.29086,0.02582,0.16510,4.249
1.32554,0.02651,0.16948,4.268
1.36015,0.02720,0.17390,4.288
1.39438,0.02789,0.17825,4.304
1.42921,0.02858,0.18271,4.319
1.46399,0.02928,0.18715,4.344
1.49903,0.02998,0.19155,4.367
1.53450,0.03069,0.19591,4.388
1.57023,0.03140,0.20040,4.412
1.60640,0.03213,0.20479,4.432
1.64192,0.03284,0.20924,4.457
1.67714,0.03354,0.21371,4.467
1.71229,0.03425,0.21820,4.483
1.74824,0.03496,0.22266,4.499
1.78368,0.03567,0.22712,4.511
1.81952,0.03639,0.23163,4.544
1.85572,0.03711,0.23614,4.559
1.89151,0.03783,0.24062,4.581
1.92708,0.03854,0.24501,4.588
1.96287,0.03926,0.24942,4.600
1.99843,0.03997,0.25380,4.614
2.03412,0.04068,0.25813,4.639
2.07013,0.04140,0.26254,4.659
2.10642,0.04213,0.26688,4.664
2.14203,0.04284,0.27123,4.693
2.17820,0.04356,0.27568,4.708
2.21384,0.04428,0.28004,4.726
2.24899,0.04498,0.28447,4.752
2.28468,0.04569,0.28892,4.751
2.32007,0.04640,0.29327,4.759
2.35591,0.04712,0.29759,4.775
2.39164,0.04783,0.30190,4.792
2.42718,0.04854,0.30617,4.820
2.46265,0.04925,0.31042,4.828
2.49839,0.04997,0.31473,4.839
2.53364,0.05067,0.31900,4.844
2.56883,0.05138,0.32329,4.861
2.60413,0.05208,0.32763,4.865
2.63977,0.05280,0.33195,4.877
2.67488,0.05350,0.33624,4.883
2.70995,0.05420,0.34051,4.896
2.74522,0.05490,0.34465,4.926
2.78099,0.05562,0.34891,4.924
2.81664,0.05633,0.35312,4.940
2.85234,0.05705,0.35730,4.959
2.88842,0.05777,0.36153,4.960
2.92401,0.05848,0.36580,4.973
2.95927,0.05919,0.37001,4.983
2.99499,0.05990,0.37427,4.996
3.02992,0.06060,0.37852,5.011
3.06525,0.06131,0.38277,5.013
3.10097,0.06202,0.38707,5.038
3.13696,0.06274,0.39138,5.035
3.17285,0.06346,0.39562,5.044
3.20834,0.06417,0.39982,5.055
3.24440,0.06489,0.40398,5.057
3.27933,0.06559,0.40819,5.070
3.31486,0.06630,0.41236,5.079
3.35000,0.06700,0.41659,5.087
3.38564,0.06771,0.42077,5.096
3.42147,0.06843,0.42496,5.110
3.45665,0.06913,0.42911,5.120
3.49183,0.06984,0.43324,5.124
3.52686,0.07054,0.43733,5.139
3.56212,0.07124,0.44141,5.146
3.59735,0.07195,0.44548,5.162
3.63272,0.07265,0.44950,5.160
3.66789,0.07336,0.45368,5.170
3.70296,0.07406,0.45781,5.176
3.73765,0.07475,0.46173,5.191
3.77261,0.07545,0.46577,5.197
3.80720,0.07614,0.46983,5.210
3.84202,0.07684,0.47383,5.206
3.87690,0.07754,0.47777,5.216
3.91196,0.07824,0.48174,5.220
3.94654,0.07893,0.48577,5.224
3.98080,0.07962,0.48978,5.231
4.01542,0.08031,0.49377,5.245
4.04955,0.08099,0.49770,5.254
4.08387,0.08168,0.50157,5.257
4.11819,0.08236,0.50550,5.266
4.15251,0.08305,0.50939,5.267
4.18672,0.08373,0.51318,5.281
4.22059,0.08441,0.51694,5.270
4.25431,0.08509,0.52086,5.278
4.28788,0.08576,0.52462,5.283
4.32077,0.08642,0.52838,5.291
4.35416,0.08708,0.53216,5.308
4.38718,0.08774,0.53588,5.313
4.42076,0.08842,0.53959,5.315
4.45383,0.08908,0.54323,5.324
4.48631,0.08973,0.54696,5.318
4.51925,0.09038,0.55063,5.316
4.55139,0.09103,0.55430,5.331
4.58331,0.09167,0.55795,5.333
4.61549,0.09231,0.56157,5.343
4.64719,0.09294,0.56518,5.351
4.67905,0.09358,0.56876,5.358
4.71090,0.09422,0.57227,5.362
4.74252,0.09485,0.57573,5.361
4.77343,0.09547,0.57911,5.352
4.80486,0.09610,0.58252,5.362
4.83505,0.09670,0.58583,5.367
4.86573,0.09731,0.58921,5.366
4.89574,0.09791,0.59250,5.372
4.92557,0.09851,0.59576,5.380
4.95557,0.09911,0.59889,5.382
4.98512,0.09970,0.60205,5.384
5.01394,0.10028,0.60521,5.394
5.04278,0.10086,0.60827,5.396
5.07127,0.10143,0.61137,5.389
5.09969,0.10199,0.61435,5.391
5.12771,0.10255,0.61742,5.390
5.15543,0.10311,0.62043,5.393
5.18300,0.10366,0.62349,5.405
5.21093,0.10422,0.62646,5.406
5.23776,0.10476,0.62943,5.417
5.26482,0.10530,0.63239,5.424
5.29117,0.10582,0.63529,5.421
5.31768,0.10635,0.63820,5.415
5.34339,0.10687,0.64104,5.416
5.36919,0.10738,0.64388,5.416
5.39461,0.10789,0.64670,5.426
5.42020,0.10840,0.64946,5.428
5.44559,0.10891,0.65224,5.432
5.47064,0.10941,0.65497,5.445
5.49588,0.10992,0.65768,5.439
5.52061,0.11041,0.66034,5.438
5.54542,0.11091,0.66297,5.441
5.57027,0.11141,0.66559,5.437
5.59396,0.11188,0.66824,5.438
5.61780,0.11236,0.67088,5.453
5.64208,0.11284,0.67349,5.448
5.66558,0.11331,0.67600,5.452
5.68971,0.11379,0.67855,5.446
5.71343,0.11427,0.68111,5.459
5.73722,0.11474,0.68362,5.456
5.76046,0.11521,0.68612,5.451
5.78319,0.11566,0.68867,5.462
5.80640,0.11613,0.69114,5.455
5.82944,0.11659,0.69361,5.468
5.85157,0.11703,0.69603,5.467
5.87434,0.11749,0.69850,5.466
5.89666,0.11793,0.70082,5.461
5.91868,0.11837,0.70313,5.466
5.94074,0.11881,0.70554,5.455
5.96243,0.11925,0.70785,5.459
5.98434,0.11969,0.71023,5.477
6.00619,0.12012,0.71255,5.474
6.02764,0.12055,0.71480,5.478
6.04903,0.12098,0.71703,5.484
6.07001,0.12140,0.71932,5.480
6.09138,0.12183,0.72156,5.480
6.11190,0.12224,0.72383,5.479
6.13317,0.12266,0.72608,5.500
6.15410,0.12308,0.72826,5.494
6.17495,0.12350,0.73049,5.487
6.19557,0.12391,0.73268,5.491
6.21694,0.12434,0.73490,5.492
6.23824,0.12476,0.73714,5.484
6.25880,0.12518,0.73937,5.481
6.27978,0.12560,0.74162,5.499
6.30059,0.12601,0.74383,5.499
