""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","4"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
0.55167,0.01103,0.08153,3.910
0.56480,0.01130,0.08347,3.916
0.57811,0.01156,0.08561,3.923
0.59146,0.01183,0.08766,3.944
0.60515,0.01210,0.08974,3.959
0.61881,0.01238,0.09188,3.982
0.63286,0.01266,0.09398,3.975
0.64680,0.01294,0.09609,3.979
0.66052,0.01321,0.09828,4.006
0.67506,0.01350,0.10055,4.000
0.68934,0.01379,0.10268,4.016
0.70399,0.01408,0.10492,4.033
0.71859,0.01437,0.10715,4.054
0.73291,0.01466,0.10945,4.033
0.74788,0.01496,0.11179,4.061
0.76304,0.01526,0.11409,4.076
0.77799,0.01556,0.11644,4.080
0.79374,0.01587,0.11877,4.091
0.80890,0.01618,0.12120,4.112
0.82467,0.01649,0.12365,4.128
0.84044,0.01681,0.12605,4.134
0.85638,0.01713,0.12849,4.148
0.87213,0.01744,0.13088,4.178
0.88833,0.01777,0.13336,4.178
0.90483,0.01810,0.13587,4.176
0.92079,0.01842,0.13840,4.199
0.93726,0.01875,0.14086,4.210
0.95390,0.01908,0.14340,4.214
0.97059,0.01941,0.14597,4.223
0.98715,0.01974,0.14851,4.245
1.00389,0.02008,0.15107,4.246
1.02096,0.02042,0.15366,4.255
1.03800,0.02076,0.15625,4.274
1.05548,0.02111,0.15884,4.292
1.07235,0.02145,0.16151,4.294
1.08974,0.02179,0.16415,4.308
1.10702,0.02214,0.16672,4.325
1.12443,0.02249,0.16938,4.332
1.14164,0.02283,0.17211,4.338
1.15911,0.02318,0.17472,4.358
1.17635,0.02353,0.17735,4.368
1.19403,0.02388,0.18002,4.368
1.21179,0.02424,0.18260,4.384
1.22954,0.02459,0.18531,4.410
1.24726,0.02495,0.18802,4.415
1.26521,0.02530,0.19073,4.423
1.28381,0.02568,0.19350,4.439
1.30193,0.02604,0.19619,4.444
1.32030,0.02641,0.19900,4.459
1.33852,0.02677,0.20177,4.465
1.35683,0.02714,0.20456,4.489
1.37520,0.02750,0.20732,4.495
1.39324,0.02786,0.21012,4.501
1.41175,0.02823,0.21288,4.513
1.43033,0.02861,0.21566,4.532
1.44891,0.02898,0.21857,4.537
