Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.70,1.215
0.00000,0.00004,93.95741,-0.02313,0.23110
0.00180,0.00004,94.08975,-0.02314,0.23110
0.10000,0.00222,97.77490,-0.02297,0.23111
0.20000,0.00668,105.14893,-0.02298,0.23109
0.30000,0.01188,117.92937,-0.02306,0.23108
0.40000,0.01729,132.52785,-0.02305,0.23105
0.50000,0.02267,151.22294,-0.02301,0.23107
0.60000,0.02799,165.49174,-0.02297,0.23108
0.70000,0.03326,179.34395,-0.02297,0.23108
0.80000,0.03848,189.69318,-0.02287,0.23109
0.90000,0.04363,201.23487,-0.02287,0.23110
1.00000,0.04871,211.33777,-0.02289,0.23112
1.10000,0.05378,222.03447,-0.02282,0.23112
1.20000,0.05881,232.52312,-0.02272,0.23113
1.30000,0.06383,243.61284,-0.02269,0.23113
1.40000,0.06885,255.25866,-0.02270,0.23115
1.50000,0.07386,267.06140,-0.02256,0.23117
1.60000,0.07890,277.45431,-0.02259,0.23117
1.70000,0.08394,290.60114,-0.02248,0.23119
1.80000,0.08892,302.87486,-0.02245,0.23120
1.90000,0.09391,315.34666,-0.02243,0.23120
2.00000,0.09889,327.60650,-0.02236,0.23121
2.06280,0.10204,335.46658,-0.02223,0.23124
2.10000,0.10388,341.30421,-0.02218,0.23124
2.20000,0.10889,352.59733,-0.02215,0.23126
2.30000,0.11389,367.27032,-0.02201,0.23127
2.40000,0.11889,382.04193,-0.02197,0.23128
2.50000,0.12387,395.46909,-0.02182,0.23131
2.60000,0.12889,409.91427,-0.02178,0.23133
2.70000,0.13390,424.96799,-0.02162,0.23135
2.80000,0.13889,438.86658,-0.02154,0.23136
2.90000,0.14390,454.05366,-0.02140,0.23138
3.00000,0.14891,468.29227,-0.02129,0.23139
3.10000,0.15392,482.86775,-0.02119,0.23143
3.15980,0.15692,492.39546,-0.02114,0.23144
3.20000,0.15819,495.28424,-0.02102,0.23144
3.30000,0.15605,478.88933,-0.02125,0.23143
3.40000,0.15147,459.71582,-0.02134,0.23140
3.50000,0.14590,411.58488,-0.02169,0.23134
3.60000,0.14006,363.79257,-0.02194,0.23128
3.70000,0.13429,316.67519,-0.02239,0.23121
3.80000,0.12867,273.27565,-0.02261,0.23118
3.90000,0.12318,237.08837,-0.02292,0.23111
4.00000,0.11780,206.49303,-0.02310,0.23109
4.10000,0.11252,178.76942,-0.02327,0.23108
4.20000,0.10734,154.91974,-0.02345,0.23106
4.30000,0.10224,134.88783,-0.02346,0.23104
4.40000,0.09716,123.02967,-0.02334,0.23108
4.50000,0.09210,112.60081,-0.02330,0.23112
4.60000,0.08707,100.45161,-0.02317,0.23113
4.64780,0.08466,95.11439,-0.02311,0.23114
4.70000,0.08207,91.46547,-0.02313,0.23115
4.80000,0.07707,83.05619,-0.02300,0.23116
4.90000,0.07205,74.29197,-0.02293,0.23116
5.00000,0.06703,61.86916,-0.02307,0.23116
5.03880,0.06508,56.29789,-0.02311,0.23115
5.10000,0.06390,53.70760,-0.02307,0.23114
5.20000,0.06678,58.28924,-0.02301,0.23116
5.30000,0.07165,76.06065,-0.02299,0.23117
5.40000,0.07733,92.36736,-0.02298,0.23116
5.50000,0.08319,106.74400,-0.02306,0.23112
5.60000,0.08894,118.18269,-0.02307,0.23110
5.70000,0.09452,133.35729,-0.02301,0.23108
5.80000,0.09995,146.46165,-0.02316,0.23109
5.90000,0.10527,164.58295,-0.02313,0.23109
6.00000,0.11052,182.94975,-0.02303,0.23110
6.10000,0.11567,205.41521,-0.02290,0.23111
6.20000,0.12077,230.36478,-0.02281,0.23114
6.30000,0.12584,256.80158,-0.02266,0.23117
6.40000,0.13090,285.40231,-0.02247,0.23119
6.50000,0.13594,318.23823,-0.02235,0.23122
6.53080,0.13750,328.80343,-0.02220,0.23123
6.60000,0.14096,355.57691,-0.02205,0.23127
6.70000,0.14599,392.62678,-0.02171,0.23132
6.80000,0.15102,423.71675,-0.02154,0.23137
6.90000,0.15603,448.63205,-0.02130,0.23140
7.00000,0.16101,473.91122,-0.02119,0.23144
7.10000,0.16600,493.44953,-0.02109,0.23146
7.20000,0.17101,515.20662,-0.02084,0.23150
7.30000,0.17604,534.49711,-0.02074,0.23152
7.40000,0.18105,553.51928,-0.02060,0.23155
7.50000,0.18606,571.22735,-0.02046,0.23157
7.58780,0.19045,587.39781,-0.02038,0.23160
7.60000,0.19105,589.15010,-0.02038,0.23160
7.70000,0.19601,607.37124,-0.02017,0.23161
7.80000,0.20100,624.76927,-0.02002,0.23163
7.90000,0.20600,642.78487,-0.01995,0.23164
8.00000,0.21101,658.96185,-0.01972,0.23166
8.10000,0.21601,676.08627,-0.01970,0.23169
8.20000,0.22101,692.32471,-0.01959,0.23169
8.30000,0.22601,709.01942,-0.01938,0.23172
8.40000,0.23100,726.34416,-0.01930,0.23173
8.50000,0.23602,743.75495,-0.01912,0.23175
8.60000,0.24102,760.66619,-0.01895,0.23177
8.70000,0.24603,777.96420,-0.01885,0.23179
8.80000,0.25103,794.97788,-0.01874,0.23182
8.90000,0.25602,811.72716,-0.01854,0.23183
9.00000,0.26102,830.66421,-0.01846,0.23185
9.02380,0.26222,834.59830,-0.01841,0.23185
9.10000,0.26602,848.55510,-0.01830,0.23189
9.20000,0.27102,867.97653,-0.01817,0.23191
9.30000,0.27604,885.31887,-0.01804,0.23193
9.40000,0.28106,904.76871,-0.01788,0.23195
9.50000,0.28607,924.35172,-0.01773,0.23198
9.60000,0.29102,940.26234,-0.01761,0.23200
9.70000,0.29601,957.29260,-0.01743,0.23203
9.80000,0.30101,975.43504,-0.01722,0.23206
9.90000,0.30602,994.75915,-0.01719,0.23208
10.00000,0.31101,1011.79555,-0.01706,0.23211
10.10000,0.31602,1031.41954,-0.01689,0.23212
10.20000,0.32103,1050.23310,-0.01675,0.23215
10.30000,0.32603,1067.88035,-0.01662,0.23218
10.38780,0.33042,1085.96822,-0.01645,0.23221
10.40000,0.33102,1088.25015,-0.01645,0.23221
10.50000,0.33601,1107.41891,-0.01618,0.23222
10.60000,0.34100,1127.48006,-0.01614,0.23225
10.70000,0.34602,1148.77177,-0.01590,0.23228
10.80000,0.35104,1166.64665,-0.01583,0.23230
10.90000,0.35603,1185.29471,-0.01562,0.23232
11.00000,0.36101,1204.76577,-0.01547,0.23235
11.10000,0.36601,1223.97579,-0.01532,0.23237
11.20000,0.37103,1243.90814,-0.01520,0.23241
11.30000,0.37602,1263.02103,-0.01503,0.23242
11.40000,0.38101,1282.10690,-0.01486,0.23245
11.50000,0.38597,1302.40601,-0.01467,0.23248
11.60000,0.39098,1322.49380,-0.01448,0.23251
11.65080,0.39353,1333.52401,-0.01444,0.23252
11.70000,0.39600,1342.91556,-0.01437,0.23255
11.80000,0.40102,1362.54560,-0.01419,0.23256
11.90000,0.40600,1385.17134,-0.01414,0.23258
12.00000,0.41100,1407.55186,-0.01389,0.23262
12.10000,0.41605,1426.56881,-0.01367,0.23263
12.20000,0.42104,1445.84607,-0.01368,0.23267
12.30000,0.42603,1466.62015,-0.01336,0.23268
12.40000,0.43100,1485.78705,-0.01324,0.23271
12.50000,0.43599,1505.50762,-0.01309,0.23275
12.60000,0.44101,1527.30290,-0.01286,0.23277
12.70000,0.44602,1547.52871,-0.01278,0.23278
12.80000,0.45104,1567.82325,-0.01258,0.23282
12.88280,0.45519,1585.46437,-0.01242,0.23283
12.90000,0.45604,1589.03953,-0.01245,0.23284
13.00000,0.46103,1609.29635,-0.01228,0.23286
13.10000,0.46604,1631.33815,-0.01220,0.23289
13.20000,0.47105,1651.16768,-0.01195,0.23293
13.30000,0.47605,1674.77056,-0.01177,0.23294
13.40000,0.48103,1694.75935,-0.01159,0.23298
13.50000,0.48603,1715.98010,-0.01137,0.23301
13.60000,0.49102,1735.48982,-0.01125,0.23303
13.70000,0.49601,1756.87037,-0.01104,0.23307
13.80000,0.50100,1777.31346,-0.01092,0.23309
13.90000,0.50601,1798.32838,-0.01072,0.23312
14.00000,0.51103,1819.01660,-0.01054,0.23315
14.07180,0.51464,1834.62854,-0.01046,0.23315
14.10000,0.51604,1841.17425,-0.01035,0.23316
14.20000,0.52104,1862.86364,-0.01023,0.23320
14.30000,0.52603,1885.51378,-0.01002,0.23323
14.40000,0.53102,1905.33400,-0.00989,0.23325
14.50000,0.53600,1927.92509,-0.00970,0.23327
14.60000,0.54101,1949.22015,-0.00948,0.23331
14.70000,0.54603,1970.90041,-0.00935,0.23334
14.80000,0.55103,1991.71212,-0.00909,0.23336
14.90000,0.55603,2013.66488,-0.00902,0.23340
15.00000,0.56102,2035.48539,-0.00878,0.23342
