Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.6, 1.2
0.00000,0.00000,74.90041,-0.08265,0.20480
0.00180,0.00000,74.86371,-0.08265,0.20480
0.10000,0.00206,78.29582,-0.08253,0.20481
0.20000,0.00642,98.05197,-0.08244,0.20483
0.30000,0.01159,124.47052,-0.08231,0.20489
0.40000,0.01702,144.80650,-0.08218,0.20490
0.50000,0.02248,159.14198,-0.08202,0.20493
0.60000,0.02788,169.10136,-0.08212,0.20494
0.70000,0.03318,180.61344,-0.08201,0.20495
0.80000,0.03838,189.39879,-0.08200,0.20496
0.90000,0.04352,199.60189,-0.08196,0.20497
1.00000,0.04862,211.36925,-0.08187,0.20500
1.10000,0.05368,220.00652,-0.08189,0.20500
1.20000,0.05873,231.01568,-0.08172,0.20502
1.30000,0.06378,242.21754,-0.08172,0.20503
1.40000,0.06881,251.00056,-0.08165,0.20505
1.50000,0.07380,261.64297,-0.08158,0.20507
1.60000,0.07876,272.73316,-0.08153,0.20508
1.70000,0.08374,282.14259,-0.08152,0.20509
1.80000,0.08876,293.83861,-0.08140,0.20511
1.90000,0.09381,303.90248,-0.08135,0.20513
2.00000,0.09887,315.95854,-0.08121,0.20516
2.07580,0.10266,322.80525,-0.08123,0.20516
2.10000,0.10386,325.87172,-0.08121,0.20515
2.20000,0.10886,336.93565,-0.08122,0.20517
2.30000,0.11385,348.00498,-0.08113,0.20519
2.40000,0.11883,359.78667,-0.08096,0.20521
2.50000,0.12383,370.15220,-0.08095,0.20522
2.60000,0.12885,380.61440,-0.08087,0.20524
2.70000,0.13386,392.41780,-0.08085,0.20526
2.80000,0.13883,403.70841,-0.08070,0.20527
2.90000,0.14381,414.99697,-0.08065,0.20529
3.00000,0.14879,429.62693,-0.08061,0.20530
3.10000,0.15382,441.22934,-0.08043,0.20531
3.20000,0.15882,454.54493,-0.08044,0.20534
3.30000,0.16384,467.48305,-0.08038,0.20534
3.40000,0.16887,480.29143,-0.08027,0.20537
3.50000,0.17387,494.19571,-0.08008,0.20538
3.51480,0.17462,495.86352,-0.08008,0.20538
3.60000,0.17543,488.90347,-0.08016,0.20536
3.70000,0.17195,477.59144,-0.08017,0.20535
3.80000,0.16680,443.89693,-0.08051,0.20530
3.90000,0.16105,392.91214,-0.08099,0.20524
4.00000,0.15520,345.65600,-0.08125,0.20518
4.10000,0.14949,301.87946,-0.08150,0.20512
4.20000,0.14394,261.72241,-0.08180,0.20508
4.30000,0.13850,225.92209,-0.08203,0.20502
4.40000,0.13317,194.12022,-0.08227,0.20499
4.50000,0.12794,166.96118,-0.08250,0.20494
4.60000,0.12279,142.94386,-0.08255,0.20492
4.70000,0.11771,125.38247,-0.08267,0.20490
4.80000,0.11263,110.54398,-0.08264,0.20490
4.90000,0.10760,96.52814,-0.08265,0.20489
4.95880,0.10462,87.46637,-0.08269,0.20487
5.00000,0.10256,80.71754,-0.08269,0.20488
5.10000,0.09753,64.16589,-0.08280,0.20485
5.13780,0.09563,58.31281,-0.08278,0.20483
5.20000,0.09447,54.86337,-0.08281,0.20483
5.30000,0.09734,59.04874,-0.08271,0.20483
5.40000,0.10221,77.52385,-0.08268,0.20487
5.50000,0.10788,111.67200,-0.08239,0.20491
5.60000,0.11371,135.78972,-0.08226,0.20494
5.70000,0.11944,156.45521,-0.08213,0.20497
5.80000,0.12507,180.47011,-0.08202,0.20501
5.90000,0.13053,205.88394,-0.08190,0.20504
