Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.636,1.195
0.00000,0.00009,33.35848,-0.00099,0.24029
0.00180,0.00009,33.31536,-0.00100,0.24029
0.10000,0.00226,38.30437,-0.00093,0.24030
0.20000,0.00671,54.86580,-0.00083,0.24034
0.30000,0.01191,68.89291,-0.00058,0.24039
0.40000,0.01732,84.90644,-0.00005,0.24044
0.50000,0.02271,90.38290,-0.00014,0.24046
0.60000,0.02802,98.01034,0.00013,0.24046
0.70000,0.03329,105.70250,-0.00005,0.24048
0.80000,0.03850,113.84040,0.00006,0.24050
0.90000,0.04365,121.50826,0.00000,0.24051
1.00000,0.04875,129.79908,0.00005,0.24051
1.10000,0.05380,140.23501,0.00012,0.24053
1.20000,0.05882,147.91470,0.00018,0.24054
1.30000,0.06385,158.17937,0.00020,0.24055
1.40000,0.06889,167.71629,0.00020,0.24058
1.50000,0.07390,178.53202,0.00022,0.24059
1.60000,0.07893,188.81718,0.00030,0.24061
1.70000,0.08395,200.03319,0.00023,0.24063
1.80000,0.08895,210.67467,0.00040,0.24065
1.90000,0.09395,220.83120,0.00046,0.24065
2.00000,0.09892,232.63898,0.00052,0.24069
2.10000,0.10391,242.68804,0.00048,0.24070
2.20000,0.10891,254.56436,0.00061,0.24071
2.30000,0.11393,264.37519,0.00067,0.24074
2.40000,0.11893,276.08359,0.00067,0.24076
2.40880,0.11938,277.11717,0.00071,0.24077
2.50000,0.12390,286.61620,0.00077,0.24078
2.60000,0.12891,300.60811,0.00078,0.24080
2.70000,0.13392,311.75632,0.00099,0.24082
2.80000,0.13892,323.47124,0.00091,0.24084
2.90000,0.14394,338.39792,0.00101,0.24087
3.00000,0.14895,351.00002,0.00105,0.24088
3.10000,0.15394,363.27904,0.00125,0.24091
3.20000,0.15893,375.53869,0.00123,0.24092
3.30000,0.16393,388.35509,0.00131,0.24094
3.40000,0.16894,402.70807,0.00142,0.24096
3.50000,0.17396,414.68982,0.00150,0.24098
3.60000,0.17895,427.73522,0.00156,0.24101
3.70000,0.18396,439.98500,0.00159,0.24101
3.80000,0.18897,452.56764,0.00176,0.24104
3.90000,0.19394,465.64043,0.00189,0.24106
4.00000,0.19892,478.91773,0.00196,0.24108
4.10000,0.20390,493.09358,0.00202,0.24110
4.11380,0.20460,495.03436,0.00202,0.24110
4.20000,0.20534,487.49102,0.00200,0.24109
4.30000,0.20177,475.84157,0.00192,0.24108
4.40000,0.19659,439.53732,0.00169,0.24102
4.50000,0.19084,393.44477,0.00129,0.24096
4.60000,0.18503,344.59485,0.00099,0.24089
4.70000,0.17932,300.00135,0.00066,0.24083
4.80000,0.17377,260.93982,0.00040,0.24077
4.90000,0.16837,227.21356,0.00014,0.24071
5.00000,0.16307,197.56565,-0.00019,0.24068
5.10000,0.15785,170.20833,-0.00037,0.24063
5.20000,0.15269,143.77618,-0.00048,0.24060
5.30000,0.14759,122.84545,-0.00064,0.24057
5.40000,0.14252,101.78527,-0.00076,0.24052
5.50000,0.13748,92.41560,-0.00069,0.24052
5.60000,0.13246,88.88114,-0.00056,0.24053
5.70000,0.12744,82.80892,-0.00048,0.24053
5.80000,0.12241,75.28672,-0.00049,0.24050
5.90000,0.11738,66.28735,-0.00053,0.24050
5.96780,0.11397,54.20884,-0.00056,0.24048
6.00000,0.11275,51.40789,-0.00066,0.24049
6.10000,0.11455,57.99793,-0.00048,0.24048
6.20000,0.11902,71.93433,-0.00038,0.24050
6.30000,0.12453,94.54191,-0.00037,0.24052
6.40000,0.13035,100.87462,-0.00033,0.24055
6.50000,0.13614,112.79872,-0.00015,0.24057
6.60000,0.14180,137.36365,-0.00011,0.24062
6.70000,0.14730,159.44717,-0.00005,0.24064
6.80000,0.15267,176.95585,0.00001,0.24065
6.90000,0.15792,195.21518,0.00010,0.24066
7.00000,0.16309,218.05614,0.00022,0.24071
7.10000,0.16822,243.99608,0.00046,0.24073
7.20000,0.17331,272.36985,0.00067,0.24078
7.30000,0.17836,302.00621,0.00073,0.24081
7.40000,0.18341,334.86141,0.00096,0.24085
7.50000,0.18845,368.35046,0.00118,0.24091
7.60000,0.19345,400.79216,0.00141,0.24095
7.70000,0.19843,428.10664,0.00164,0.24099
7.80000,0.20342,452.48363,0.00171,0.24101
7.90000,0.20842,473.04770,0.00201,0.24105
8.00000,0.21346,494.62589,0.00215,0.24109
8.10000,0.21846,512.88381,0.00221,0.24111
8.15480,0.22121,524.59771,0.00234,0.24113
8.20000,0.22346,531.91623,0.00239,0.24115
8.30000,0.22845,549.56023,0.00250,0.24117
8.40000,0.23345,566.82266,0.00259,0.24120
8.50000,0.23846,584.94899,0.00270,0.24121
8.60000,0.24346,601.83592,0.00284,0.24125
8.70000,0.24846,618.89449,0.00299,0.24128
8.80000,0.25346,635.28186,0.00310,0.24130
8.90000,0.25847,651.38079,0.00326,0.24132
9.00000,0.26347,667.69905,0.00336,0.24135
9.10000,0.26846,684.36489,0.00350,0.24137
9.20000,0.27347,701.83286,0.00359,0.24140
9.30000,0.27849,717.52891,0.00378,0.24143
9.40000,0.28351,734.23749,0.00392,0.24146
9.50000,0.28850,750.90080,0.00396,0.24148
9.60000,0.29347,765.63964,0.00406,0.24149
9.65180,0.29605,774.22448,0.00426,0.24152
9.70000,0.29844,781.96162,0.00421,0.24153
9.80000,0.30346,800.72656,0.00441,0.24155
9.90000,0.30846,817.17670,0.00448,0.24158
10.00000,0.31346,833.32965,0.00466,0.24160
10.10000,0.31847,852.34018,0.00473,0.24162
10.20000,0.32346,868.76694,0.00493,0.24166
10.30000,0.32847,886.56731,0.00505,0.24169
10.40000,0.33347,905.42864,0.00513,0.24170
10.50000,0.33846,922.37173,0.00534,0.24174
10.60000,0.34345,941.10304,0.00543,0.24176
10.70000,0.34846,956.28100,0.00555,0.24179
10.80000,0.35347,973.55796,0.00568,0.24180
10.90000,0.35848,991.66036,0.00586,0.24183
11.00000,0.36346,1010.34623,0.00599,0.24185
11.07780,0.36736,1024.42969,0.00610,0.24187
11.10000,0.36846,1028.25314,0.00611,0.24188
11.20000,0.37346,1045.70044,0.00634,0.24191
11.30000,0.37847,1063.02286,0.00639,0.24193
11.40000,0.38345,1083.17183,0.00655,0.24194
11.50000,0.38842,1100.33480,0.00665,0.24197
11.60000,0.39343,1120.41505,0.00688,0.24201
11.70000,0.39846,1139.13408,0.00693,0.24203
11.80000,0.40346,1158.55355,0.00714,0.24205
11.90000,0.40847,1176.74684,0.00719,0.24209
12.00000,0.41349,1193.89156,0.00742,0.24210
12.10000,0.41849,1211.90436,0.00753,0.24215
12.20000,0.42347,1230.71745,0.00765,0.24216
12.30000,0.42846,1248.13300,0.00786,0.24218
12.40000,0.43344,1267.16774,0.00789,0.24222
12.43480,0.43521,1274.14521,0.00797,0.24223
12.50000,0.43846,1286.07685,0.00814,0.24225
12.60000,0.44345,1305.31853,0.00834,0.24227
12.70000,0.44847,1325.51957,0.00842,0.24230
12.80000,0.45348,1343.67868,0.00855,0.24234
12.90000,0.45847,1363.58915,0.00874,0.24235
13.00000,0.46347,1383.98036,0.00882,0.24238
13.10000,0.46849,1405.03896,0.00902,0.24241
13.20000,0.47349,1424.77425,0.00912,0.24245
13.30000,0.47849,1444.39861,0.00932,0.24247
13.40000,0.48348,1465.31425,0.00944,0.24251
13.50000,0.48847,1483.84189,0.00956,0.24252
13.60000,0.49345,1502.29288,0.00973,0.24255
13.70000,0.49845,1522.01727,0.00989,0.24259
13.70480,0.49870,1522.95670,0.00989,0.24259
13.80000,0.50345,1540.75613,0.01005,0.24261
13.90000,0.50847,1562.25134,0.01024,0.24264
14.00000,0.51348,1582.15947,0.01039,0.24267
14.10000,0.51849,1602.56624,0.01052,0.24270
14.20000,0.52349,1624.07402,0.01064,0.24273
14.30000,0.52848,1645.72429,0.01085,0.24276
14.40000,0.53346,1664.25724,0.01100,0.24279
14.50000,0.53843,1684.52114,0.01121,0.24283
14.60000,0.54344,1705.96987,0.01132,0.24286
14.70000,0.54848,1725.42781,0.01144,0.24286
