Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.76, 1.200
0.00000,0.00011,77.61549,-0.02368,0.06924
0.00180,0.00011,77.65293,-0.02367,0.06924
0.10000,0.00226,82.32668,-0.02353,0.06925
0.20000,0.00670,96.09349,-0.02349,0.06926
0.30000,0.01190,100.00002,-0.02345,0.06925
0.40000,0.01733,104.54459,-0.02351,0.06926
0.50000,0.02272,111.60402,-0.02346,0.06926
0.60000,0.02804,119.78829,-0.02345,0.06925
0.70000,0.03331,129.59167,-0.02350,0.06925
0.80000,0.03851,139.48167,-0.02344,0.06926
0.90000,0.04367,150.75840,-0.02341,0.06928
1.00000,0.04878,161.44905,-0.02327,0.06927
1.10000,0.05383,171.51944,-0.02329,0.06927
1.20000,0.05886,182.25955,-0.02326,0.06929
1.30000,0.06389,192.91230,-0.02309,0.06929
1.40000,0.06892,204.54722,-0.02301,0.06930
1.50000,0.07393,215.31638,-0.02305,0.06930
1.60000,0.07896,226.52149,-0.02294,0.06933
1.70000,0.08398,237.38984,-0.02285,0.06932
1.80000,0.08898,248.76986,-0.02284,0.06934
1.90000,0.09398,259.51648,-0.02277,0.06935
2.00000,0.09896,273.26588,-0.02266,0.06935
2.10000,0.10394,283.24416,-0.02262,0.06936
2.20000,0.10895,295.86842,-0.02248,0.06937
2.30000,0.11395,306.47088,-0.02247,0.06938
2.40000,0.11895,318.55302,-0.02238,0.06939
2.41780,0.11984,320.59802,-0.02231,0.06939
2.50000,0.12394,329.94933,-0.02236,0.06940
2.60000,0.12895,341.84596,-0.02220,0.06941
2.70000,0.13395,353.93229,-0.02212,0.06942
2.80000,0.13895,365.99338,-0.02210,0.06942
2.90000,0.14396,378.21690,-0.02201,0.06943
3.00000,0.14898,389.25214,-0.02190,0.06945
3.10000,0.15398,401.92753,-0.02187,0.06945
3.20000,0.15896,414.38341,-0.02167,0.06948
3.30000,0.16396,428.15628,-0.02166,0.06947
3.40000,0.16898,441.68970,-0.02154,0.06950
3.50000,0.17398,454.74460,-0.02149,0.06950
3.60000,0.17898,468.81540,-0.02132,0.06950
3.70000,0.18399,482.08907,-0.02123,0.06952
3.79980,0.18900,495.33937,-0.02109,0.06953
3.80000,0.18900,495.33937,-0.02109,0.06953
3.90000,0.18943,487.24851,-0.02118,0.06952
4.00000,0.18555,476.33070,-0.02132,0.06952
4.10000,0.18025,432.78141,-0.02168,0.06946
4.20000,0.17447,383.13745,-0.02201,0.06942
4.30000,0.16866,334.84232,-0.02232,0.06938
4.40000,0.16297,290.48705,-0.02265,0.06933
4.50000,0.15742,250.61797,-0.02295,0.06929
4.60000,0.15201,216.72873,-0.02328,0.06926
4.70000,0.14672,186.22633,-0.02336,0.06925
4.80000,0.14154,158.42440,-0.02359,0.06923
4.90000,0.13641,138.24701,-0.02377,0.06921
5.00000,0.13131,125.52254,-0.02375,0.06923
5.10000,0.12624,114.59775,-0.02367,0.06924
5.20000,0.12119,102.31063,-0.02376,0.06924
5.30000,0.11614,96.24278,-0.02369,0.06925
5.40000,0.11110,92.37733,-0.02371,0.06926
5.50000,0.10610,88.59159,-0.02360,0.06928
5.60000,0.10109,83.98173,-0.02363,0.06929
5.63280,0.09944,83.08664,-0.02364,0.06930
5.70000,0.09608,71.81792,-0.02362,0.06928
5.80000,0.09109,58.01413,-0.02376,0.06928
5.82880,0.08964,54.52847,-0.02371,0.06927
5.90000,0.08863,53.24828,-0.02376,0.06927
6.00000,0.09180,58.24436,-0.02371,0.06928
6.10000,0.09681,78.42798,-0.02361,0.06929
6.20000,0.10251,96.46704,-0.02349,0.06928
6.30000,0.10833,102.10974,-0.02350,0.06928
6.40000,0.11408,109.46384,-0.02356,0.06929
6.50000,0.11964,119.12864,-0.02358,0.06928
6.60000,0.12507,138.32953,-0.02340,0.06928
6.70000,0.13039,158.53662,-0.02334,0.06929
6.80000,0.13562,181.68753,-0.02315,0.06929
6.90000,0.14078,206.68907,-0.02303,0.06931
7.00000,0.14591,231.02574,-0.02289,0.06933
7.10000,0.15099,257.34054,-0.02271,0.06934
7.20000,0.15603,285.79105,-0.02249,0.06936
7.30000,0.16104,315.15993,-0.02235,0.06937
7.30280,0.16119,316.18988,-0.02235,0.06937
7.40000,0.16607,343.31689,-0.02210,0.06941
7.50000,0.17109,371.46453,-0.02189,0.06942
7.60000,0.17611,397.98087,-0.02175,0.06943
7.70000,0.18112,421.07217,-0.02163,0.06947
7.80000,0.18613,444.52362,-0.02144,0.06948
7.90000,0.19114,466.83801,-0.02127,0.06950
8.00000,0.19611,486.81470,-0.02114,0.06952
8.10000,0.20109,507.04749,-0.02109,0.06955
8.20000,0.20608,526.74226,-0.02080,0.06956
8.30000,0.21110,544.49858,-0.02077,0.06957
8.40000,0.21611,561.01121,-0.02065,0.06959
8.45880,0.21907,571.38996,-0.02057,0.06960
8.50000,0.22111,578.95854,-0.02054,0.06960
8.60000,0.22609,594.06050,-0.02036,0.06962
8.70000,0.23108,611.85779,-0.02024,0.06964
8.80000,0.23610,628.73401,-0.02022,0.06965
8.90000,0.24112,644.25785,-0.02007,0.06967
9.00000,0.24612,660.89984,-0.01992,0.06968
9.10000,0.25112,677.55217,-0.01979,0.06969
9.20000,0.25612,693.29524,-0.01965,0.06971
9.30000,0.26111,709.10715,-0.01952,0.06973
9.40000,0.26611,726.27589,-0.01935,0.06974
9.50000,0.27111,741.06716,-0.01932,0.06976
9.60000,0.27612,758.36675,-0.01924,0.06978
9.70000,0.28114,774.50145,-0.01905,0.06979
9.80000,0.28616,791.75932,-0.01890,0.06981
9.90000,0.29113,808.30064,-0.01873,0.06983
9.96880,0.29457,820.16401,-0.01857,0.06984
10.00000,0.29611,825.27762,-0.01866,0.06985
10.10000,0.30110,842.28609,-0.01849,0.06985
10.20000,0.30611,859.91425,-0.01834,0.06987
10.30000,0.31112,878.43500,-0.01820,0.06989
10.40000,0.31612,896.34787,-0.01814,0.06990
10.50000,0.32111,913.36938,-0.01791,0.06991
10.60000,0.32611,929.22132,-0.01784,0.06994
10.70000,0.33112,947.78668,-0.01772,0.06996
10.80000,0.33612,965.43450,-0.01758,0.06998
10.90000,0.34110,982.69871,-0.01743,0.06999
11.00000,0.34610,1000.78359,-0.01730,0.07001
11.10000,0.35112,1017.26539,-0.01723,0.07003
11.20000,0.35612,1036.42391,-0.01703,0.07004
11.30000,0.36111,1054.09706,-0.01693,0.07007
11.38580,0.36540,1071.40616,-0.01674,0.07008
11.40000,0.36611,1073.91160,-0.01672,0.07008
11.50000,0.37111,1091.90000,-0.01661,0.07011
11.60000,0.37609,1110.28850,-0.01653,0.07012
11.70000,0.38109,1130.28465,-0.01634,0.07013
11.80000,0.38607,1148.48614,-0.01619,0.07016
11.90000,0.39108,1166.84623,-0.01601,0.07017
12.00000,0.39610,1185.91031,-0.01593,0.07020
12.10000,0.40112,1203.08613,-0.01576,0.07022
12.20000,0.40611,1221.28008,-0.01564,0.07023
12.30000,0.41112,1240.65038,-0.01555,0.07025
12.40000,0.41615,1258.33889,-0.01532,0.07027
12.50000,0.42112,1276.19626,-0.01523,0.07029
12.60000,0.42611,1294.28431,-0.01503,0.07030
12.70000,0.43109,1312.85395,-0.01492,0.07033
12.73980,0.43308,1320.51855,-0.01492,0.07034
12.80000,0.43610,1334.02767,-0.01478,0.07035
12.90000,0.44110,1352.88518,-0.01467,0.07037
13.00000,0.44611,1372.57800,-0.01453,0.07039
13.10000,0.45112,1391.55574,-0.01440,0.07041
13.20000,0.45612,1412.70403,-0.01430,0.07043
13.30000,0.46112,1431.73831,-0.01410,0.07046
13.40000,0.46613,1451.12267,-0.01401,0.07047
13.50000,0.47113,1469.70153,-0.01377,0.07050
13.60000,0.47614,1489.45982,-0.01364,0.07051
13.70000,0.48114,1508.10918,-0.01361,0.07054
13.80000,0.48612,1525.93264,-0.01339,0.07056
13.90000,0.49111,1546.05908,-0.01319,0.07057
14.00000,0.49610,1565.72890,-0.01310,0.07060
14.02380,0.49729,1570.82770,-0.01308,0.07061
14.10000,0.50110,1584.24526,-0.01298,0.07062
14.20000,0.50611,1604.27764,-0.01279,0.07063
14.30000,0.51112,1624.46890,-0.01268,0.07065
14.40000,0.51613,1645.18431,-0.01251,0.07069
14.50000,0.52112,1665.35135,-0.01244,0.07071
14.60000,0.52612,1684.86033,-0.01222,0.07073
14.70000,0.53111,1704.86756,-0.01205,0.07074
14.80000,0.53610,1724.96978,-0.01192,0.07077
14.90000,0.54110,1744.84793,-0.01175,0.07079
15.00000,0.54611,1761.76000,-0.01168,0.07082
15.10000,0.55113,1782.94424,-0.01147,0.07083
15.20000,0.55613,1802.01158,-0.01129,0.07085
15.29080,0.56067,1819.84399,-0.01123,0.07086
15.30000,0.56112,1821.74481,-0.01117,0.07087
15.40000,0.56611,1844.20012,-0.01096,0.07089
15.50000,0.57112,1865.57900,-0.01093,0.07093
15.60000,0.57612,1887.30713,-0.01078,0.07094
15.70000,0.58114,1907.11468,-0.01047,0.07097
15.80000,0.58613,1927.92173,-0.01039,0.07098
15.90000,0.59112,1949.38034,-0.01020,0.07101
16.00000,0.59610,1968.87683,-0.01008,0.07104
16.10000,0.60111,1988.27330,-0.00993,0.07105
16.20000,0.60611,2009.46927,-0.00980,0.07107
16.30000,0.61111,2029.58547,-0.00964,0.07111
16.40000,0.61613,2051.08840,-0.00948,0.07113
16.49280,0.62078,2071.37913,-0.00935,0.07114
16.50000,0.62113,2072.73196,-0.00936,0.07114
16.60000,0.62611,2091.62161,-0.00918,0.07117
16.70000,0.63109,2113.95137,-0.00904,0.07118
16.80000,0.63610,2136.46926,-0.00879,0.07122
16.90000,0.64111,2157.26066,-0.00862,0.07123
17.00000,0.64612,2179.67313,-0.00845,0.07125
17.10000,0.65113,2199.44343,-0.00833,0.07128
17.20000,0.65613,2219.64028,-0.00820,0.07131
17.30000,0.66113,2242.66257,-0.00804,0.07132
17.40000,0.66613,2260.56445,-0.00791,0.07135
17.50000,0.67110,2282.52094,-0.00772,0.07138
17.60000,0.67610,2304.97364,-0.00752,0.07140
17.66680,0.67946,2318.89319,-0.00738,0.07142
17.70000,0.68112,2326.26051,-0.00731,0.07143
17.80000,0.68612,2348.23450,-0.00724,0.07145
17.90000,0.69110,2369.56719,-0.00704,0.07147
18.00000,0.69608,2391.89230,-0.00689,0.07149
18.10000,0.70110,2413.89032,-0.00673,0.07151
18.20000,0.70611,2436.09250,-0.00646,0.07154
18.30000,0.71112,2459.18892,-0.00632,0.07157
