Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.574, 1.211
0.00000,0.00004,88.54447,0.00054,0.33304
0.00180,0.00004,88.58899,0.00054,0.33304
0.10000,0.00223,93.11736,0.00069,0.33306
0.20000,0.00670,103.93243,0.00071,0.33307
0.30000,0.01189,114.08422,0.00081,0.33310
0.40000,0.01729,129.74581,0.00074,0.33312
0.50000,0.02267,143.07443,0.00076,0.33316
0.60000,0.02799,155.70614,0.00076,0.33318
0.70000,0.03326,168.15113,0.00080,0.33320
0.80000,0.03847,180.53669,0.00088,0.33322
0.90000,0.04362,192.27518,0.00108,0.33325
1.00000,0.04872,204.08593,0.00097,0.33327
1.10000,0.05378,216.41934,0.00112,0.33330
1.20000,0.05882,227.41370,0.00125,0.33332
1.30000,0.06382,240.09077,0.00121,0.33334
1.40000,0.06885,250.88694,0.00132,0.33336
1.50000,0.07387,263.64252,0.00142,0.33339
1.60000,0.07890,276.19703,0.00148,0.33339
1.70000,0.08393,289.07722,0.00160,0.33343
1.80000,0.08892,301.68584,0.00170,0.33345
1.90000,0.09391,313.69161,0.00172,0.33348
2.00000,0.09888,328.04953,0.00177,0.33349
2.02680,0.10023,331.46581,0.00182,0.33350
2.10000,0.10388,341.88572,0.00194,0.33352
2.20000,0.10888,354.64726,0.00195,0.33353
2.30000,0.11389,367.28811,0.00204,0.33356
2.40000,0.11888,379.71912,0.00211,0.33360
2.50000,0.12388,393.54227,0.00210,0.33361
2.60000,0.12888,407.21307,0.00226,0.33363
2.70000,0.13390,418.11103,0.00231,0.33366
2.80000,0.13890,430.02116,0.00248,0.33367
2.90000,0.14391,443.57115,0.00239,0.33370
3.00000,0.14892,455.68896,0.00257,0.33372
3.10000,0.15392,466.95545,0.00263,0.33375
3.20000,0.15891,481.53866,0.00276,0.33378
3.29780,0.16379,495.63721,0.00283,0.33379
3.30000,0.16389,495.94603,0.00283,0.33379
3.40000,0.16413,485.40449,0.00276,0.33380
3.50000,0.16025,473.64486,0.00262,0.33379
3.60000,0.15492,428.52806,0.00233,0.33375
3.70000,0.14914,375.04360,0.00191,0.33370
3.80000,0.14333,320.32253,0.00139,0.33365
3.90000,0.13764,270.23274,0.00114,0.33359
4.00000,0.13212,233.28410,0.00087,0.33354
4.10000,0.12672,203.50907,0.00067,0.33350
4.20000,0.12143,173.90819,0.00048,0.33349
4.30000,0.11620,150.28194,0.00034,0.33346
4.40000,0.11103,129.49249,0.00013,0.33343
4.50000,0.10593,112.05431,0.00016,0.33342
4.60000,0.10088,103.60815,0.00031,0.33334
4.70000,0.09583,96.22229,0.00046,0.33328
4.74880,0.09338,92.35768,0.00042,0.33324
4.80000,0.09082,87.59936,0.00053,0.33322
4.90000,0.08581,82.64016,0.00047,0.33320
5.00000,0.08081,66.63464,0.00036,0.33317
5.06480,0.07755,56.15791,0.00032,0.33316
5.10000,0.07632,53.35286,0.00034,0.33314
5.20000,0.07829,59.49577,0.00032,0.33314
5.30000,0.08281,72.54230,0.00047,0.33315
5.40000,0.08835,100.08328,0.00069,0.33318
5.50000,0.09415,101.29614,0.00060,0.33321
5.60000,0.09991,123.37379,0.00070,0.33326
5.70000,0.10554,151.41601,0.00069,0.33331
5.80000,0.11103,176.69043,0.00086,0.33334
5.90000,0.11638,200.80218,0.00099,0.33338
