Time,Extension,Load,Displacement (Strain 1),Displacement (Strain 2)
(sec),(mm),(N),(mm),(mm)
12.661, 1.199
0.00000,0.00011,90.54579,-0.02809,0.21278
0.00180,0.00011,90.55017,-0.02809,0.21278
0.10000,0.00224,93.64868,-0.02803,0.21279
0.20000,0.00667,101.44254,-0.02806,0.21279
0.30000,0.01187,109.92950,-0.02808,0.21282
0.40000,0.01729,123.97813,-0.02798,0.21285
0.50000,0.02269,140.46263,-0.02788,0.21290
0.60000,0.02802,160.86837,-0.02776,0.21293
0.70000,0.03330,178.09765,-0.02767,0.21294
0.80000,0.03852,192.15280,-0.02764,0.21296
0.90000,0.04367,202.75647,-0.02758,0.21297
1.00000,0.04878,213.94538,-0.02745,0.21301
1.10000,0.05383,222.87555,-0.02736,0.21300
1.20000,0.05885,233.09914,-0.02735,0.21301
1.30000,0.06389,243.31957,-0.02723,0.21302
1.40000,0.06892,254.87393,-0.02725,0.21304
1.50000,0.07394,265.40142,-0.02710,0.21305
1.60000,0.07897,276.64667,-0.02703,0.21306
1.70000,0.08399,290.58307,-0.02699,0.21307
1.80000,0.08898,301.97902,-0.02693,0.21309
1.90000,0.09398,314.37287,-0.02682,0.21312
2.00000,0.09895,328.03193,-0.02665,0.21313
2.06780,0.10234,336.34501,-0.02655,0.21313
2.10000,0.10394,341.13135,-0.02657,0.21314
2.20000,0.10894,354.08018,-0.02648,0.21316
2.30000,0.11395,367.95866,-0.02640,0.21317
2.40000,0.11895,381.22972,-0.02631,0.21319
2.50000,0.12394,395.52264,-0.02620,0.21321
2.60000,0.12894,409.67623,-0.02605,0.21321
2.70000,0.13395,422.66240,-0.02602,0.21324
2.80000,0.13896,436.87467,-0.02594,0.21327
2.90000,0.14398,451.36129,-0.02581,0.21328
3.00000,0.14899,465.14831,-0.02568,0.21329
3.10000,0.15398,480.51393,-0.02554,0.21332
3.20000,0.15896,494.19487,-0.02548,0.21333
3.20180,0.15906,494.52782,-0.02547,0.21333
3.30000,0.15951,486.44468,-0.02554,0.21333
3.40000,0.15571,475.49559,-0.02559,0.21331
